X--Trace 1::[V(3) | V(PR2)],Y--Trace 1::[V(3) | V(PR2)],,X--Trace 2::[V(1) | V(PR3)],Y--Trace 2::[V(1) | V(PR3)]
100,0.896824358,,100,6
125.8925412,1.124092992,,125.8925412,6
158.4893192,1.405440822,,158.4893192,6
199.5262315,1.750439312,,199.5262315,6
251.1886432,2.167344832,,251.1886432,6
316.227766,2.660106488,,316.227766,6
398.1071706,3.223721305,,398.1071706,6
501.1872336,3.838626758,,501.1872336,6
630.9573445,4.466725891,,630.9573445,6
794.3282347,5.053229858,,794.3282347,6
1000,5.536672137,,1000,6
1258.925412,5.863271413,,1258.925412,6
1584.893192,5.997577783,,1584.893192,6
1995.262315,5.925698213,,1995.262315,6
2511.886432,5.655002578,,2511.886432,6
3162.27766,5.214421757,,3162.27766,6
3981.071706,4.652922841,,3981.071706,6
5011.872336,4.031134733,,5011.872336,6
6309.573445,3.407285903,,6309.573445,6
7943.282347,2.825135651,,7943.282347,6
10000,2.309662877,,10000,6
12589.25412,1.869722743,,12589.25412,6
15848.93192,1.503533534,,15848.93192,6
19952.62315,1.203760336,,19952.62315,6
25118.86432,0.961007957,,25118.86432,6
31622.7766,0.76580271,,31622.7766,6
39810.71706,0.609533985,,39810.71706,6
50118.72336,0.484791994,,50118.72336,6
63095.73445,0.385396581,,63095.73445,6
79432.82347,0.30628835,,79432.82347,6
100000,0.243372243,,100000,6
125892.5412,0.193356947,,125892.5412,6
158489.3192,0.153608689,,158489.3192,6
199526.2315,0.122025649,,199526.2315,6
251188.6432,0.096933396,,251188.6432,6
316227.766,0.076999428,,316227.766,6
398107.1706,0.06116407,,398107.1706,6
501187.2336,0.048584975,,501187.2336,6
630957.3445,0.038592731,,630957.3445,6
794328.2347,0.030655454,,794328.2347,6
1000000,0.024350571,,1000000,6
1258925.412,0.019342386,,1258925.412,6
1584893.192,0.015364223,,1584893.192,6
1995262.315,0.012204246,,1995262.315,6
2511886.432,0.009694182,,2511886.432,6
3162277.66,0.007700365,,3162277.66,6
3981071.706,0.006116619,,3981071.706,6
5011872.336,0.004858604,,5011872.336,6
6309573.445,0.003859326,,6309573.445,6
7943282.347,0.003065572,,7943282.347,6
10000000,0.00243507,,10000000,6
12589254.12,0.001934245,,12589254.12,6
15848931.92,0.001536426,,15848931.92,6
19952623.15,0.001220426,,19952623.15,6
25118864.32,0.000969419,,25118864.32,6
31622776.6,0.000770037,,31622776.6,6
39810717.06,0.000611662,,39810717.06,6
50118723.36,0.00048586,,50118723.36,6
63095734.45,0.000385933,,63095734.45,6
79432823.47,0.000306557,,79432823.47,6
100000000,0.000243507,,100000000,6
