X,CH1,Start,Increment,adjusted
Sequence,VOLT,4.75E-05,1.00E-06,
0,-0.00224,,,0.00028
1,-0.00224,,,0.00028
2,-0.00224,,,0.00028
3,-0.00224,,,0.00028
4,-0.00224,,,0.00028
5,-0.00252,,,0
6,-0.00252,,,0
7,-0.00252,,,0
8,-0.00252,,,0
9,-0.00252,,,0
10,-0.00224,,,0.00028
11,-0.00224,,,0.00028
12,-0.00224,,,0.00028
13,-0.00224,,,0.00028
14,-0.00252,,,0
15,-0.00252,,,0
16,-0.00252,,,0
17,-0.00252,,,0
18,-0.00252,,,0
19,-0.00252,,,0
20,-0.00252,,,0
21,-0.00252,,,0
22,-0.00252,,,0
23,-0.00252,,,0
24,-0.00252,,,0
25,-0.00252,,,0
26,-0.00252,,,0
27,-0.00224,,,0.00028
28,-0.00252,,,0
29,-0.00252,,,0
30,-0.00252,,,0
31,-0.00252,,,0
32,-0.00252,,,0
33,-0.00224,,,0.00028
34,-0.00252,,,0
35,-0.00224,,,0.00028
36,-0.00224,,,0.00028
37,-0.00224,,,0.00028
38,-0.00252,,,0
39,-0.00224,,,0.00028
40,-0.00224,,,0.00028
41,-0.00224,,,0.00028
42,-0.00224,,,0.00028
43,-0.00224,,,0.00028
44,-0.00224,,,0.00028
45,-0.00224,,,0.00028
46,-0.00224,,,0.00028
47,-0.00224,,,0.00028
48,-0.00224,,,0.00028
49,-0.00252,,,0
50,-0.00224,,,0.00028
51,-0.00224,,,0.00028
52,-0.00224,,,0.00028
53,-0.00224,,,0.00028
54,-0.00224,,,0.00028
55,-0.00252,,,0
56,-0.00224,,,0.00028
57,-0.00252,,,0
58,-0.00252,,,0
59,-0.00224,,,0.00028
60,-0.00224,,,0.00028
61,-0.00224,,,0.00028
62,-0.00224,,,0.00028
63,-0.00224,,,0.00028
64,-0.00252,,,0
65,-0.00252,,,0
66,-0.00224,,,0.00028
67,-0.00224,,,0.00028
68,-0.00224,,,0.00028
69,-0.00224,,,0.00028
70,-0.00224,,,0.00028
71,-0.00252,,,0
72,-0.00252,,,0
73,-0.00224,,,0.00028
74,-0.00224,,,0.00028
75,-0.00252,,,0
76,-0.00224,,,0.00028
77,-0.00224,,,0.00028
78,-0.00224,,,0.00028
79,-0.00224,,,0.00028
80,-0.00224,,,0.00028
81,-0.00224,,,0.00028
82,-0.00224,,,0.00028
83,-0.00224,,,0.00028
84,-0.00224,,,0.00028
85,-0.00224,,,0.00028
86,-0.00224,,,0.00028
87,-0.00224,,,0.00028
88,-0.00224,,,0.00028
89,-0.00252,,,0
90,-0.00252,,,0
91,-0.00252,,,0
92,-0.00224,,,0.00028
93,-0.00224,,,0.00028
94,-0.00224,,,0.00028
95,-0.00224,,,0.00028
96,-0.00224,,,0.00028
97,-0.00224,,,0.00028
98,-0.00252,,,0
99,-0.00224,,,0.00028
100,-0.00224,,,0.00028
101,-0.00224,,,0.00028
102,-0.00224,,,0.00028
103,-0.00224,,,0.00028
104,-0.00224,,,0.00028
105,-0.00252,,,0
106,-0.00224,,,0.00028
107,-0.00224,,,0.00028
108,-0.00224,,,0.00028
109,-0.00224,,,0.00028
110,-0.00224,,,0.00028
111,-0.00224,,,0.00028
112,-0.00224,,,0.00028
113,-0.00224,,,0.00028
114,-0.00252,,,0
115,-0.00252,,,0
116,-0.00224,,,0.00028
117,-0.00224,,,0.00028
118,-0.00224,,,0.00028
119,-0.00224,,,0.00028
120,-0.00224,,,0.00028
121,-0.00252,,,0
122,-0.00224,,,0.00028
123,-0.00224,,,0.00028
124,-0.00224,,,0.00028
125,-0.00224,,,0.00028
126,-0.00224,,,0.00028
127,-0.00224,,,0.00028
128,-0.00224,,,0.00028
129,-0.00224,,,0.00028
130,-0.00224,,,0.00028
131,-0.00224,,,0.00028
132,-0.00196,,,0.00056
133,-0.00196,,,0.00056
134,-0.00196,,,0.00056
135,-0.00196,,,0.00056
136,-0.00168,,,0.00084
137,-0.00168,,,0.00084
138,-0.00168,,,0.00084
139,-0.00168,,,0.00084
140,-0.00168,,,0.00084
141,-0.00168,,,0.00084
142,-0.00168,,,0.00084
143,-0.00168,,,0.00084
144,-0.00168,,,0.00084
145,-0.0014,,,0.00112
146,-0.0014,,,0.00112
147,-0.0014,,,0.00112
148,-0.0014,,,0.00112
149,-0.00112,,,0.0014
150,-0.00112,,,0.0014
151,-0.00112,,,0.0014
152,-0.00084,,,0.00168
153,-0.00084,,,0.00168
154,-0.00084,,,0.00168
155,-0.00084,,,0.00168
156,-0.00084,,,0.00168
157,-0.00084,,,0.00168
158,-0.00084,,,0.00168
159,-0.00084,,,0.00168
160,-0.00056,,,0.00196
161,-0.00056,,,0.00196
162,-0.00056,,,0.00196
163,-0.00056,,,0.00196
164,-0.00056,,,0.00196
165,-0.00028,,,0.00224
166,-0.00028,,,0.00224
167,-0.00028,,,0.00224
168,0,,,0.00252
169,0,,,0.00252
170,0,,,0.00252
171,0,,,0.00252
172,0,,,0.00252
173,0,,,0.00252
174,0.00028,,,0.0028
175,0.00028,,,0.0028
176,0.00028,,,0.0028
177,0.00028,,,0.0028
178,0.00028,,,0.0028
179,0.00028,,,0.0028
180,0.00028,,,0.0028
181,0.00028,,,0.0028
182,0.00028,,,0.0028
183,0.00028,,,0.0028
184,0.00028,,,0.0028
185,0.00028,,,0.0028
186,0.00056,,,0.00308
187,0.00056,,,0.00308
188,0.00056,,,0.00308
189,0.00056,,,0.00308
190,0.00056,,,0.00308
191,0.00056,,,0.00308
192,0.00056,,,0.00308
193,0.00056,,,0.00308
194,0.00056,,,0.00308
195,0.00056,,,0.00308
196,0.00056,,,0.00308
197,0.00056,,,0.00308
198,0.00056,,,0.00308
199,0.00056,,,0.00308
200,0.00056,,,0.00308
201,0.00056,,,0.00308
202,0.00056,,,0.00308
