X,CH1,Start,Increment,adjusted,
Sequence,VOLT,4.75E-05,1.00E-06,,
0,-0.00196,,,0.00028,0
1,-0.00196,,,0.00028,0.06
2,-0.00196,,,0.00028,0.12
3,-0.00196,,,0.00028,0.18
4,-0.00196,,,0.00028,0.24
5,-0.00196,,,0.00028,0.3
6,-0.00196,,,0.00028,0.36
7,-0.00196,,,0.00028,0.42
8,-0.00196,,,0.00028,0.48
9,-0.00196,,,0.00028,0.54
10,-0.00196,,,0.00028,0.6
11,-0.00196,,,0.00028,0.66
12,-0.00224,,,0.00028,0.72
13,-0.00196,,,0.00028,0.78
14,-0.00196,,,0.00028,0.84
15,-0.00196,,,0.00028,0.9
16,-0.00196,,,0.00028,0.96
17,-0.00196,,,0.00028,1.02
18,-0.00196,,,0.00028,1.08
19,-0.00196,,,0.00028,1.14
20,-0.00196,,,0.00028,1.2
21,-0.00224,,,0.00028,1.26
22,-0.00224,,,0.00028,1.32
23,-0.00196,,,0.00028,1.38
24,-0.00196,,,0.00028,1.44
25,-0.00196,,,0.00028,1.5
26,-0.00196,,,0,1.56
27,-0.00196,,,0,1.62
28,-0.00224,,,0.00028,1.68
29,-0.00196,,,0.00028,1.74
30,-0.00196,,,0.00028,1.8
31,-0.00196,,,0.00028,1.86
32,-0.00196,,,0.00028,1.92
33,-0.00196,,,0.00028,1.98
34,-0.00196,,,0.00028,2.04
35,-0.00196,,,0.00028,2.1
36,-0.00196,,,0.00028,2.16
37,-0.00196,,,0.00028,2.22
38,-0.00196,,,0.00028,2.28
39,-0.00196,,,0.00028,2.34
40,-0.00196,,,0.00028,2.4
41,-0.00196,,,0.00028,2.46
42,-0.00196,,,0.00028,2.52
43,-0.00196,,,0.00028,2.58
44,-0.00196,,,0.00028,2.64
45,-0.00196,,,0.00028,2.7
46,-0.00196,,,0.00028,2.76
47,-0.00196,,,0.00028,2.82
48,-0.00196,,,0.00028,2.88
49,-0.00196,,,0.00028,2.94
50,-0.00196,,,0.00028,3
51,-0.00196,,,0,3.06
52,-0.00196,,,0.00028,3.12
53,-0.00196,,,0.00028,3.18
54,-0.00196,,,0.00028,3.24
55,-0.00196,,,0.00028,3.3
56,-0.00196,,,0.00028,3.36
57,-0.00196,,,0,3.42
58,-0.00196,,,0,3.48
59,-0.00196,,,0,3.54
60,-0.00196,,,0,3.6
61,-0.00224,,,0.00028,3.66
62,-0.00224,,,0.00028,3.72
63,-0.00196,,,0.00028,3.78
64,-0.00196,,,0.00028,3.84
65,-0.00196,,,0.00028,3.9
66,-0.00196,,,0,3.96
67,-0.00196,,,0,4.02
68,-0.00196,,,0.00028,4.08
69,-0.00196,,,0.00028,4.14
70,-0.00196,,,0.00028,4.2
71,-0.00196,,,0.00028,4.26
72,-0.00196,,,0.00028,4.32
73,-0.00196,,,0,4.38
74,-0.00196,,,0,4.44
75,-0.00196,,,0.00028,4.5
76,-0.00196,,,0.00028,4.56
77,-0.00196,,,0.00028,4.62
78,-0.00196,,,0.00028,4.68
79,-0.00196,,,0.00028,4.74
80,-0.00196,,,0.00028,4.8
81,-0.00196,,,0.00028,4.86
82,-0.00196,,,0,4.92
83,-0.00196,,,0.00028,4.98
84,-0.00196,,,0.00028,5.04
85,-0.00196,,,0.00028,5.1
86,-0.00224,,,0.00028,5.16
87,-0.00196,,,0.00028,5.22
88,-0.00196,,,0.00028,5.28
89,-0.00196,,,0.00028,5.34
90,-0.00196,,,0,5.4
91,-0.00196,,,0,5.46
92,-0.00224,,,0.00028,5.52
93,-0.00224,,,0.00028,5.58
94,-0.00224,,,0.00028,5.64
95,-0.00224,,,0.00028,5.7
96,-0.00196,,,0.00028,5.76
97,-0.00196,,,0.00028,5.82
98,-0.00196,,,0.00028,5.88
99,-0.00196,,,0,5.94
100,-0.00196,,,0.00028,6
101,-0.00224,,,0.00028,6.06
102,-0.00224,,,0.00028,6.12
103,-0.00196,,,0.00056,6.18
104,-0.00196,,,0.00056,6.24
105,-0.00196,,,0.00056,6.3
106,-0.00196,,,0.00056,6.36
107,-0.00196,,,0.00056,6.42
108,-0.00224,,,0.00056,6.48
109,-0.00224,,,0.00084,6.54
110,-0.00196,,,0.00084,6.6
111,-0.00196,,,0.00084,6.66
112,-0.00196,,,0.00084,6.72
113,-0.00196,,,0.00084,6.78
114,-0.00196,,,0.00084,6.84
115,-0.00196,,,0.00112,6.9
116,-0.00196,,,0.00112,6.96
117,-0.00224,,,0.0014,7.02
118,-0.00196,,,0.0014,7.08
119,-0.00196,,,0.0014,7.14
120,-0.00196,,,0.0014,7.2
121,-0.00196,,,0.0014,7.26
122,-0.00196,,,0.00168,7.32
123,-0.00196,,,0.00168,7.38
124,-0.00196,,,0.00168,7.44
125,-0.00224,,,0.00168,7.5
126,-0.00224,,,0.00168,7.56
127,-0.00196,,,0.00196,7.62
128,-0.00196,,,0.00196,7.68
129,-0.00196,,,0.00196,7.74
130,-0.00196,,,0.00196,7.8
131,-0.00196,,,0.00224,7.86
132,-0.00196,,,0.00224,7.92
133,-0.00196,,,0.00224,7.98
134,-0.00224,,,0.00252,8.04
135,-0.00196,,,0.00252,8.1
136,-0.00196,,,0.00252,8.16
137,-0.00196,,,0.00252,8.22
138,-0.00168,,,0.00252,8.28
139,-0.00168,,,0.00252,8.34
140,-0.00168,,,0.0028,8.4
141,-0.00168,,,0.0028,8.46
142,-0.00168,,,0.0028,8.52
143,-0.00168,,,0.0028,8.58
144,-0.0014,,,0.0028,8.64
145,-0.0014,,,0.00308,8.7
146,-0.0014,,,0.00308,8.76
147,-0.0014,,,0.00308,8.82
