X,CH1,Start,Increment
Sequence,VOLT,4.75E-05,1.00E-06
0,-2.24E-03,,
1,-2.24E-03,,
2,-2.24E-03,,
3,-2.24E-03,,
4,-2.24E-03,,
5,-2.52E-03,,
6,-2.52E-03,,
7,-2.52E-03,,
8,-2.52E-03,,
9,-2.52E-03,,
10,-2.24E-03,,
11,-2.24E-03,,
12,-2.24E-03,,
13,-2.24E-03,,
14,-2.52E-03,,
15,-2.52E-03,,
16,-2.52E-03,,
17,-2.52E-03,,
18,-2.52E-03,,
19,-2.52E-03,,
20,-2.52E-03,,
21,-2.52E-03,,
22,-2.52E-03,,
23,-2.52E-03,,
24,-2.52E-03,,
25,-2.52E-03,,
26,-2.52E-03,,
27,-2.24E-03,,
28,-2.52E-03,,
29,-2.52E-03,,
30,-2.52E-03,,
31,-2.52E-03,,
32,-2.52E-03,,
33,-2.24E-03,,
34,-2.52E-03,,
35,-2.24E-03,,
36,-2.24E-03,,
37,-2.24E-03,,
38,-2.52E-03,,
39,-2.24E-03,,
40,-2.24E-03,,
41,-2.24E-03,,
42,-2.24E-03,,
43,-2.24E-03,,
44,-2.24E-03,,
45,-2.24E-03,,
46,-2.24E-03,,
47,-2.24E-03,,
48,-2.24E-03,,
49,-2.52E-03,,
50,-2.24E-03,,
51,-2.24E-03,,
52,-2.24E-03,,
53,-2.24E-03,,
54,-2.24E-03,,
55,-2.52E-03,,
56,-2.24E-03,,
57,-2.52E-03,,
58,-2.52E-03,,
59,-2.24E-03,,
60,-2.24E-03,,
61,-2.24E-03,,
62,-2.24E-03,,
63,-2.24E-03,,
64,-2.52E-03,,
65,-2.52E-03,,
66,-2.24E-03,,
67,-2.24E-03,,
68,-2.24E-03,,
69,-2.24E-03,,
70,-2.24E-03,,
71,-2.52E-03,,
72,-2.52E-03,,
73,-2.24E-03,,
74,-2.24E-03,,
75,-2.52E-03,,
76,-2.24E-03,,
77,-2.24E-03,,
78,-2.24E-03,,
79,-2.24E-03,,
80,-2.24E-03,,
81,-2.24E-03,,
82,-2.24E-03,,
83,-2.24E-03,,
84,-2.24E-03,,
85,-2.24E-03,,
86,-2.24E-03,,
87,-2.24E-03,,
88,-2.24E-03,,
89,-2.52E-03,,
90,-2.52E-03,,
91,-2.52E-03,,
92,-2.24E-03,,
93,-2.24E-03,,
94,-2.24E-03,,
95,-2.24E-03,,
96,-2.24E-03,,
97,-2.24E-03,,
98,-2.52E-03,,
99,-2.24E-03,,
100,-2.24E-03,,
101,-2.24E-03,,
102,-2.24E-03,,
103,-2.24E-03,,
104,-2.24E-03,,
105,-2.52E-03,,
106,-2.24E-03,,
107,-2.24E-03,,
108,-2.24E-03,,
109,-2.24E-03,,
110,-2.24E-03,,
111,-2.24E-03,,
112,-2.24E-03,,
113,-2.24E-03,,
114,-2.52E-03,,
115,-2.52E-03,,
116,-2.24E-03,,
117,-2.24E-03,,
118,-2.24E-03,,
119,-2.24E-03,,
120,-2.24E-03,,
121,-2.52E-03,,
122,-2.24E-03,,
123,-2.24E-03,,
124,-2.24E-03,,
125,-2.24E-03,,
126,-2.24E-03,,
127,-2.24E-03,,
128,-2.24E-03,,
129,-2.24E-03,,
130,-2.24E-03,,
131,-2.24E-03,,
132,-1.96E-03,,
133,-1.96E-03,,
134,-1.96E-03,,
135,-1.96E-03,,
136,-1.68E-03,,
137,-1.68E-03,,
138,-1.68E-03,,
139,-1.68E-03,,
140,-1.68E-03,,
141,-1.68E-03,,
142,-1.68E-03,,
143,-1.68E-03,,
144,-1.68E-03,,
145,-1.40E-03,,
146,-1.40E-03,,
147,-1.40E-03,,
148,-1.40E-03,,
149,-1.12E-03,,
150,-1.12E-03,,
151,-1.12E-03,,
152,-8.40E-04,,
153,-8.40E-04,,
154,-8.40E-04,,
155,-8.40E-04,,
156,-8.40E-04,,
157,-8.40E-04,,
158,-8.40E-04,,
159,-8.40E-04,,
160,-5.60E-04,,
161,-5.60E-04,,
162,-5.60E-04,,
163,-5.60E-04,,
164,-5.60E-04,,
165,-2.80E-04,,
166,-2.80E-04,,
167,-2.80E-04,,
168,0.00E+00,,
169,0.00E+00,,
170,0.00E+00,,
171,0.00E+00,,
172,0.00E+00,,
173,0.00E+00,,
174,2.80E-04,,
175,2.80E-04,,
176,2.80E-04,,
177,2.80E-04,,
178,2.80E-04,,
179,2.80E-04,,
180,2.80E-04,,
181,2.80E-04,,
182,2.80E-04,,
183,2.80E-04,,
184,2.80E-04,,
185,2.80E-04,,
186,5.60E-04,,
187,5.60E-04,,
188,5.60E-04,,
189,5.60E-04,,
190,5.60E-04,,
191,5.60E-04,,
192,5.60E-04,,
193,5.60E-04,,
194,5.60E-04,,
195,5.60E-04,,
196,5.60E-04,,
197,5.60E-04,,
198,5.60E-04,,
199,5.60E-04,,
200,5.60E-04,,
201,5.60E-04,,
202,5.60E-04,,
203,5.60E-04,,
204,5.60E-04,,
205,5.60E-04,,
206,5.60E-04,,
207,5.60E-04,,
208,8.40E-04,,
209,8.40E-04,,
210,8.40E-04,,
211,8.40E-04,,
212,1.12E-03,,
213,1.12E-03,,
214,1.12E-03,,
215,1.12E-03,,
216,1.12E-03,,
217,1.12E-03,,
218,1.12E-03,,
219,1.12E-03,,
220,1.40E-03,,
221,1.40E-03,,
222,1.40E-03,,
223,1.40E-03,,
224,1.40E-03,,
225,1.40E-03,,
226,1.40E-03,,
227,1.40E-03,,
228,1.40E-03,,
229,1.40E-03,,
230,1.40E-03,,
231,1.40E-03,,
232,1.40E-03,,
233,1.40E-03,,
234,1.12E-03,,
235,1.12E-03,,
236,1.12E-03,,
237,1.12E-03,,
238,8.40E-04,,
239,8.40E-04,,
240,8.40E-04,,
241,8.40E-04,,
242,8.40E-04,,
243,8.40E-04,,
244,8.40E-04,,
245,8.40E-04,,
246,8.40E-04,,
247,8.40E-04,,
248,8.40E-04,,
249,5.60E-04,,
250,5.60E-04,,
251,5.60E-04,,
252,5.60E-04,,
253,5.60E-04,,
254,5.60E-04,,
255,5.60E-04,,
256,5.60E-04,,
257,5.60E-04,,
258,5.60E-04,,
259,5.60E-04,,
260,2.80E-04,,
261,2.80E-04,,
262,2.80E-04,,
263,2.80E-04,,
264,0.00E+00,,
265,0.00E+00,,
266,0.00E+00,,
267,0.00E+00,,
268,0.00E+00,,
269,0.00E+00,,
270,0.00E+00,,
271,-2.80E-04,,
272,-2.80E-04,,
273,-2.80E-04,,
