曲线1               
波长      数值      
390.00    32        
390.10    9         
390.20    -52       
390.30    71        
390.40    21        
390.50    -9        
390.60    -42       
390.70    -63       
390.80    23        
390.90    11        
391.00    42        
391.10    44        
391.20    -135      
391.30    -40       
391.40    -80       
391.50    -20       
391.60    -93       
391.70    8         
391.80    -18       
391.90    -36       
392.00    -19       
392.10    -38       
392.20    46        
392.30    5         
392.40    -8        
392.50    6         
392.60    -34       
392.70    -56       
392.80    24        
392.90    -67       
393.00    -53       
393.10    33        
393.20    52        
393.30    5         
393.40    -139      
393.50    -20       
393.60    -17       
393.70    -90       
393.80    47        
393.90    -21       
394.00    25        
394.10    -55       
394.20    -10       
394.30    2         
394.40    -7        
394.50    30        
394.60    -18       
394.70    13        
394.80    -14       
394.90    -53       
395.00    11        
395.10    9         
395.20    -72       
395.30    -161      
395.40    -53       
395.50    17        
395.60    -50       
395.70    12        
395.80    -36       
395.90    -46       
396.00    58        
396.10    28        
396.20    35        
396.30    39        
396.40    32        
396.50    45        
396.60    39        
396.70    -49       
396.80    35        
396.90    -22       
397.00    -17       
397.10    -13       
397.20    -35       
397.30    0         
397.40    -96       
397.50    -36       
397.60    35        
397.70    -7        
397.80    11        
397.90    -38       
398.00    29        
398.10    -41       
398.20    -13       
398.30    3         
398.40    18        
398.50    -39       
398.60    -9        
398.70    0         
398.80    66        
398.90    -159      
399.00    4         
399.10    36        
399.20    -20       
399.30    -113      
399.40    2         
399.50    19        
399.60    29        
399.70    -10       
399.80    -44       
399.90    9         
400.00    -46       
400.10    19        
400.20    -53       
400.30    -28       
400.40    -79       
400.50    9         
400.60    -57       
400.70    -145      
400.80    16        
400.90    20        
401.00    -12       
401.10    42        
401.20    -16       
401.30    33        
401.40    -48       
401.50    47        
401.60    -39       
401.70    23        
401.80    37        
401.90    -88       
402.00    29        
402.10    -7        
402.20    -19       
402.30    1         
402.40    -12       
402.50    -24       
402.60    22        
402.70    -17       
402.80    9         
402.90    35        
403.00    -42       
403.10    19        
403.20    -7        
403.30    36        
403.40    -4        
403.50    -9        
403.60    48        
403.70    -34       
403.80    20        
403.90    -18       
404.00    15        
404.10    -34       
404.20    21        
404.30    44        
404.40    -35       
404.50    -15       
404.60    -58       
404.70    14        
404.80    -132      
404.90    -67       
405.00    -10       
405.10    -25       
405.20    27        
405.30    -14       
405.40    -20       
405.50    6         
405.60    -38       
405.70    -41       
405.80    62        
405.90    -45       
406.00    -26       
406.10    -47       
406.20    -76       
406.30    -117      
406.40    26        
406.50    -59       
406.60    54        
406.70    33        
406.80    55        
406.90    -31       
407.00    -51       
407.10    -28       
407.20    8         
407.30    -62       
407.40    31        
407.50    44        
407.60    49        
407.70    24        
407.80    -89       
407.90    -6        
408.00    30        
408.10    -62       
408.20    58        
408.30    24        
408.40    -36       
408.50    24        
408.60    66        
408.70    22        
408.80    32        
408.90    -54       
409.00    -66       
409.10    -8        
409.20    -37       
409.30    -16       
409.40    4         
409.50    -37       
409.60    -13       
409.70    54        
409.80    -33       
409.90    24        
410.00    46        
410.10    17        
410.20    43        
410.30    -31       
410.40    65        
410.50    25        
410.60    -12       
410.70    -40       
410.80    -62       
410.90    -9        
411.00    74        
411.10    -8        
411.20    76        
411.30    -15       
411.40    -33       
411.50    22        
411.60    62        
411.70    18        
411.80    -20       
411.90    5         
412.00    -9        
412.10    40        
412.20    36        
412.30    40        
412.40    59        
412.50    33        
412.60    89        
412.70    -33       
412.80    -8        
412.90    -19       
413.00    4         
413.10    62        
413.20    22        
413.30    40        
413.40    46        
413.50    -82       
413.60    73        
413.70    -40       
413.80    67        
413.90    43        
414.00    -12       
414.10    54        
414.20    65        
414.30    27        
414.40    59        
414.50    45        
414.60    -19       
414.70    63        
414.80    66        
414.90    -14       
415.00    11        
415.10    35        
415.20    7         
415.30    96        
415.40    3         
415.50    6         
415.60    26        
415.70    37        
415.80    91        
415.90    -6        
416.00    63        
416.10    83        
416.20    55        
416.30    -15       
416.40    69        
416.50    97        
416.60    37        
416.70    86        
416.80    25        
416.90    101       
417.00    71        
417.10    53        
417.20    48        
417.30    84        
417.40    46        
417.50    25        
417.60    100       
417.70    127       
417.80    48        
417.90    60        
418.00    66        
418.10    20        
418.20    11        
418.30    45        
418.40    63        
418.50    29        
418.60    68        
418.70    45        
418.80    153       
418.90    94        
419.00    113       
419.10    78        
419.20    91        
419.30    64        
419.40    87        
419.50    64        
419.60    86        
419.70    154       
419.80    113       
419.90    154       
420.00    98        
420.10    87        
420.20    81        
420.30    121       
420.40    89        
420.50    155       
420.60    92        
420.70    160       
420.80    195       
420.90    157       
421.00    693       
421.10    151       
421.20    135       
421.30    741       
421.40    152       
421.50    113       
421.60    195       
421.70    99        
421.80    758       
421.90    703       
422.00    163       
422.10    660       
422.20    156       
422.30    691       
422.40    700       
422.50    106       
422.60    753       
422.70    155       
422.80    733       
422.90    99        
423.00    794       
423.10    665       
423.20    672       
423.30    752       
423.40    133       
423.50    742       
423.60    801       
423.70    106       
423.80    758       
423.90    733       
424.00    830       
424.10    742       
424.20    698       
424.30    726       
424.40    738       
424.50    731       
424.60    764       
424.70    796       
424.80    772       
424.90    774       
425.00    905       
425.10    768       
425.20    837       
425.30    815       
425.40    810       
425.50    806       
425.60    808       
425.70    777       
425.80    888       
425.90    863       
426.00    803       
426.10    832       
426.20    834       
426.30    856       
426.40    805       
426.50    853       
426.60    867       
426.70    826       
426.80    926       
426.90    858       
427.00    924       
427.10    915       
427.20    904       
427.30    901       
427.40    904       
427.50    949       
427.60    890       
427.70    965       
427.80    933       
427.90    944       
428.00    975       
428.10    1008      
428.20    968       
428.30    954       
428.40    960       
428.50    1002      
428.60    932       
428.70    980       
428.80    1042      
428.90    999       
429.00    972       
429.10    1041      
429.20    1079      
429.30    1100      
429.40    1065      
429.50    1063      
429.60    1068      
429.70    1062      
429.80    1091      
429.90    1071      
430.00    1096      
430.10    1156      
430.20    1110      
430.30    1176      
430.40    1170      
430.50    1139      
430.60    1150      
430.70    1117      
430.80    1124      
430.90    1173      
431.00    1181      
431.10    1193      
431.20    1197      
431.30    1233      
431.40    1241      
431.50    1225      
431.60    1173      
431.70    1232      
431.80    1251      
431.90    1202      
432.00    1329      
432.10    1291      
432.20    1295      
432.30    1298      
432.40    1287      
432.50    1318      
432.60    1357      
432.70    1326      
432.80    1337      
432.90    1344      
433.00    1317      
433.10    1372      
433.20    1425      
433.30    1440      
433.40    1411      
433.50    1447      
433.60    1440      
433.70    1470      
433.80    1488      
433.90    1497      
434.00    1536      
434.10    1539      
434.20    1573      
434.30    1547      
434.40    1585      
434.50    1540      
434.60    1559      
434.70    1661      
434.80    1616      
434.90    1631      
435.00    1677      
435.10    1602      
435.20    1635      
435.30    1697      
435.40    1758      
435.50    1751      
435.60    1744      
435.70    1795      
435.80    1772      
435.90    1774      
436.00    1803      
436.10    1827      
436.20    1823      
436.30    1862      
436.40    1804      
436.50    1895      
436.60    1887      
436.70    1972      
436.80    1899      
436.90    1996      
437.00    1980      
437.10    1997      
437.20    1974      
437.30    2026      
437.40    2026      
437.50    2032      
437.60    2165      
437.70    2050      
437.80    2063      
437.90    2140      
438.00    2219      
438.10    2213      
438.20    2254      
438.30    2194      
438.40    2323      
438.50    2229      
438.60    2265      
438.70    2292      
438.80    2302      
438.90    2439      
439.00    2368      
439.10    2440      
439.20    2431      
439.30    2447      
439.40    2513      
439.50    2461      
439.60    2441      
439.70    2590      
439.80    2602      
439.90    2626      
440.00    2591      
440.10    2669      
440.20    2632      
440.30    2702      
440.40    2743      
440.50    2777      
440.60    2789      
440.70    2710      
440.80    2806      
440.90    2893      
441.00    2883      
441.10    2918      
441.20    3018      
441.30    3014      
441.40    3005      
441.50    3092      
441.60    3127      
441.70    3077      
441.80    3652      
441.90    3643      
442.00    3632      
442.10    3693      
442.20    3685      
442.30    3698      
442.40    3763      
442.50    3830      
442.60    3710      
442.70    3683      
442.80    3659      
442.90    3729      
443.00    3661      
443.10    3750      
443.20    3704      
443.30    3705      
443.40    3760      
443.50    3754      
443.60    3808      
443.70    3739      
443.80    3731      
443.90    3724      
444.00    3722      
444.10    3702      
444.20    3734      
444.30    3807      
444.40    3768      
444.50    3799      
444.60    3818      
444.70    3844      
444.80    3742      
444.90    3766      
445.00    3717      
445.10    3742      
445.20    3745      
445.30    3734      
445.40    3756      
445.50    3783      
445.60    3862      
445.70    3799      
445.80    3823      
445.90    3771      
446.00    3803      
446.10    3792      
446.20    3789      
446.30    3775      
446.40    3787      
446.50    3829      
446.60    3777      
446.70    3823      
446.80    3784      
446.90    3817      
447.00    3841      
447.10    3793      
447.20    3768      
447.30    3774      
447.40    3822      
447.50    3778      
447.60    3839      
447.70    3767      
447.80    3772      
447.90    3837      
448.00    3847      
448.10    3826      
448.20    3786      
448.30    3772      
448.40    3791      
448.50    3770      
448.60    3842      
448.70    3816      
448.80    3836      
448.90    3862      
449.00    3858      
449.10    3850      
449.20    3775      
449.30    3838      
449.40    3813      
449.50    3816      
449.60    3760      
449.70    3768      
449.80    3838      
449.90    3840      
450.00    3834      
450.10    3816      
450.20    3847      
450.30    3823      
450.40    3829      
450.50    3764      
450.60    3752      
450.70    3793      
450.80    3769      
450.90    3833      
451.00    3824      
451.10    3857      
451.20    3798      
451.30    3808      
451.40    3776      
451.50    3813      
451.60    3776      
451.70    3761      
451.80    3766      
451.90    3748      
452.00    3860      
452.10    3771      
452.20    3776      
452.30    3775      
452.40    3784      
452.50    3797      
452.60    3742      
452.70    3751      
452.80    3790      
452.90    3739      
453.00    3730      
453.10    3768      
453.20    3775      
453.30    3760      
453.40    3777      
453.50    3734      
453.60    3733      
453.70    3800      
453.80    3728      
453.90    3731      
454.00    3749      
454.10    3741      
454.20    3781      
454.30    3736      
454.40    3735      
454.50    3792      
454.60    3745      
454.70    3704      
454.80    3688      
454.90    3670      
455.00    3721      
455.10    3734      
455.20    3672      
455.30    3691      
455.40    3632      
455.50    3639      
455.60    3646      
455.70    3589      
455.80    3582      
455.90    3652      
456.00    3552      
456.10    3627      
456.20    3631      
456.30    3596      
456.40    3543      
456.50    3599      
456.60    3521      
456.70    3665      
456.80    3537      
456.90    3475      
457.00    3521      
457.10    3294      
457.20    2819      
457.30    2788      
457.40    2759      
457.50    2688      
457.60    2757      
457.70    2714      
457.80    2756      
457.90    2654      
458.00    2619      
458.10    2599      
458.20    2621      
458.30    2539      
458.40    2552      
458.50    2530      
458.60    2559      
458.70    2524      
458.80    2534      
458.90    2494      
459.00    2458      
459.10    2481      
459.20    2419      
459.30    2399      
459.40    2366      
459.50    2370      
459.60    2317      
459.70    2320      
459.80    2348      
459.90    2374      
460.00    2330      
460.10    2341      
460.20    2244      
460.30    2275      
460.40    2215      
460.50    2266      
460.60    2260      
460.70    2237      
460.80    2162      
460.90    2203      
461.00    2234      
461.10    2259      
461.20    2237      
461.30    2135      
461.40    2208      
461.50    2117      
461.60    2096      
461.70    2110      
461.80    2071      
461.90    2094      
462.00    2098      
462.10    2077      
462.20    2095      
462.30    2178      
462.40    1987      
462.50    2084      
462.60    2022      
462.70    2005      
462.80    2042      
462.90    1973      
463.00    2061      
463.10    2006      
463.20    2003      
463.30    1974      
463.40    1977      
463.50    1926      
463.60    1962      
463.70    1993      
463.80    1895      
463.90    1912      
464.00    1889      
464.10    1892      
464.20    1871      
464.30    1883      
464.40    1901      
464.50    1850      
464.60    1910      
464.70    1881      
464.80    1873      
464.90    1805      
465.00    1795      
465.10    1804      
465.20    1858      
465.30    1775      
465.40    1818      
465.50    1767      
