曲线1               
波长      数值      
460.00    -86       
460.10    30        
460.20    -62       
460.30    9         
460.40    13        
460.50    94        
460.60    20        
460.70    -19       
460.80    22        
460.90    -36       
461.00    -106      
461.10    1         
461.20    -4        
461.30    -13       
461.40    47        
461.50    49        
461.60    31        
461.70    18        
461.80    -72       
461.90    -27       
462.00    19        
462.10    -100      
462.20    5         
462.30    6         
462.40    24        
462.50    -21       
462.60    19        
462.70    49        
462.80    3         
462.90    -49       
463.00    -10       
463.10    -84       
463.20    -64       
463.30    -90       
463.40    -29       
463.50    -13       
463.60    -55       
463.70    11        
463.80    46        
463.90    -11       
464.00    -5        
464.10    51        
464.20    27        
464.30    -9        
464.40    -55       
464.50    31        
464.60    -3        
464.70    0         
464.80    -4        
464.90    -61       
465.00    32        
465.10    -31       
465.20    36        
465.30    23        
465.40    22        
465.50    -133      
465.60    -22       
465.70    8         
465.80    -22       
465.90    13        
466.00    20        
466.10    3         
466.20    34        
466.30    -34       
466.40    -18       
466.50    -42       
466.60    -178      
466.70    -10       
466.80    15        
466.90    54        
467.00    26        
467.10    11        
467.20    28        
467.30    -47       
467.40    -22       
467.50    47        
467.60    56        
467.70    -101      
467.80    72        
467.90    -53       
468.00    -12       
468.10    -16       
468.20    19        
468.30    59        
468.40    80        
468.50    5         
468.60    -57       
468.70    -16       
468.80    -104      
468.90    38        
469.00    -27       
469.10    32        
469.20    29        
469.30    73        
469.40    12        
469.50    -37       
469.60    -22       
469.70    -73       
469.80    -19       
469.90    15        
470.00    53        
470.10    9         
470.20    -2        
470.30    27        
470.40    -11       
470.50    47        
470.60    26        
470.70    52        
470.80    14        
470.90    -44       
471.00    53        
471.10    -3        
471.20    -98       
471.30    33        
471.40    1         
471.50    60        
471.60    4         
471.70    46        
471.80    -7        
471.90    -61       
472.00    -94       
472.10    48        
472.20    -6        
472.30    -18       
472.40    32        
472.50    38        
472.60    17        
472.70    55        
472.80    -68       
472.90    -49       
473.00    2         
473.10    34        
473.20    24        
473.30    -20       
473.40    -43       
473.50    45        
473.60    73        
473.70    61        
473.80    70        
473.90    9         
474.00    -3        
474.10    -35       
474.20    -3        
474.30    9         
474.40    -6        
474.50    33        
474.60    50        
474.70    -70       
474.80    6         
474.90    0         
475.00    56        
475.10    38        
475.20    4         
475.30    56        
475.40    47        
475.50    11        
475.60    -7        
475.70    55        
475.80    91        
475.90    -10       
476.00    -35       
476.10    -26       
476.20    47        
476.30    36        
476.40    11        
476.50    66        
476.60    -6        
476.70    41        
476.80    43        
476.90    120       
477.00    54        
477.10    24        
477.20    31        
477.30    55        
477.40    12        
477.50    -8        
477.60    28        
477.70    -11       
477.80    32        
477.90    33        
478.00    22        
478.10    44        
478.20    -81       
478.30    30        
478.40    26        
478.50    -41       
478.60    30        
478.70    1         
478.80    87        
478.90    22        
479.00    102       
479.10    96        
479.20    73        
479.30    54        
479.40    36        
479.50    83        
479.60    45        
479.70    -1        
479.80    8         
479.90    50        
480.00    87        
480.10    24        
480.20    84        
480.30    82        
480.40    101       
480.50    30        
480.60    33        
480.70    -12       
480.80    -34       
480.90    47        
481.00    79        
481.10    11        
481.20    53        
481.30    42        
481.40    98        
481.50    29        
481.60    91        
481.70    69        
481.80    22        
481.90    96        
482.00    31        
482.10    24        
482.20    124       
482.30    74        
482.40    100       
482.50    122       
482.60    129       
482.70    27        
482.80    106       
482.90    87        
483.00    95        
483.10    28        
483.20    -8        
483.30    102       
483.40    124       
483.50    122       
483.60    99        
483.70    105       
483.80    120       
483.90    30        
484.00    38        
484.10    173       
484.20    126       
484.30    77        
484.40    97        
484.50    147       
484.60    116       
484.70    765       
484.80    71        
484.90    105       
485.00    766       
485.10    87        
485.20    113       
485.30    56        
485.40    137       
485.50    124       
485.60    121       
485.70    122       
485.80    121       
485.90    157       
486.00    708       
486.10    90        
486.20    129       
486.30    730       
486.40    130       
486.50    112       
486.60    91        
486.70    123       
486.80    190       
486.90    96        
487.00    150       
487.10    128       
487.20    742       
487.30    134       
487.40    130       
487.50    687       
487.60    172       
487.70    169       
487.80    677       
487.90    140       
488.00    692       
488.10    793       
488.20    711       
488.30    130       
488.40    685       
488.50    742       
488.60    692       
488.70    145       
488.80    732       
488.90    680       
489.00    721       
489.10    767       
489.20    725       
489.30    683       
489.40    746       
489.50    768       
489.60    670       
489.70    774       
489.80    805       
489.90    679       
490.00    734       
490.10    689       
490.20    739       
490.30    761       
490.40    775       
490.50    828       
490.60    810       
490.70    832       
490.80    744       
490.90    908       
491.00    842       
491.10    719       
491.20    806       
491.30    763       
491.40    810       
491.50    742       
491.60    784       
491.70    796       
491.80    800       
491.90    812       
492.00    802       
492.10    773       
492.20    754       
492.30    815       
492.40    834       
492.50    809       
492.60    836       
492.70    801       
492.80    837       
492.90    820       
493.00    843       
493.10    860       
493.20    820       
493.30    793       
493.40    869       
493.50    813       
493.60    887       
493.70    854       
493.80    869       
493.90    868       
494.00    910       
494.10    850       
494.20    925       
494.30    911       
494.40    910       
494.50    865       
494.60    891       
494.70    926       
494.80    935       
494.90    965       
495.00    1004      
495.10    1007      
495.20    928       
495.30    964       
495.40    910       
495.50    896       
495.60    917       
495.70    904       
495.80    953       
495.90    1054      
496.00    958       
496.10    970       
496.20    947       
496.30    1048      
496.40    925       
496.50    940       
496.60    939       
496.70    1052      
496.80    978       
496.90    970       
497.00    1028      
497.10    1098      
497.20    1091      
497.30    1042      
497.40    1016      
497.50    998       
497.60    1001      
497.70    1096      
497.80    1106      
497.90    1075      
498.00    1152      
498.10    1059      
498.20    1091      
498.30    1117      
498.40    1102      
498.50    1205      
498.60    1136      
498.70    1091      
498.80    1117      
498.90    1141      
499.00    1168      
499.10    1135      
499.20    1210      
499.30    1190      
499.40    1198      
499.50    1130      
499.60    1221      
499.70    1173      
499.80    1196      
499.90    1194      
500.00    1268      
500.10    1372      
500.20    1218      
500.30    1268      
500.40    1271      
500.50    1316      
500.60    1306      
500.70    1355      
500.80    1464      
500.90    1271      
501.00    1324      
501.10    1322      
501.20    1307      
501.30    1324      
501.40    1407      
501.50    1380      
501.60    1464      
501.70    1353      
501.80    1371      
501.90    1361      
502.00    1355      
502.10    1397      
502.20    1403      
502.30    1405      
502.40    1445      
502.50    1453      
502.60    1562      
502.70    1449      
502.80    1426      
502.90    1448      
503.00    1450      
503.10    1532      
503.20    1621      
503.30    1490      
503.40    1546      
503.50    1591      
503.60    1661      
503.70    1574      
503.80    1593      
503.90    1599      
504.00    1565      
504.10    1647      
504.20    1636      
