曲线1               
波长      数值      
300.00    4141      
300.20    4102      
300.40    4130      
300.60    4036      
300.80    4115      
301.00    4081      
301.20    4100      
301.40    4059      
301.60    4072      
301.80    4065      
302.00    4092      
302.20    4080      
302.40    4136      
302.60    4098      
302.80    4062      
303.00    4088      
303.20    4042      
303.40    4178      
303.60    4116      
303.80    4070      
304.00    4039      
304.20    4060      
304.40    4088      
304.60    4129      
304.80    4065      
305.00    4047      
305.20    4061      
305.40    4105      
305.60    4113      
305.80    4143      
306.00    4167      
306.20    4075      
306.40    4101      
306.60    4117      
306.80    4160      
307.00    4088      
307.20    4182      
307.40    4136      
307.60    4090      
307.80    4108      
308.00    4094      
308.20    4130      
308.40    4118      
308.60    4091      
308.80    4103      
309.00    4134      
309.20    4145      
309.40    4125      
309.60    4125      
309.80    4113      
310.00    4102      
310.20    4143      
310.40    4187      
310.60    4134      
310.80    4110      
311.00    4171      
311.20    4136      
311.40    4148      
311.60    4158      
311.80    4088      
312.00    4140      
312.20    4148      
312.40    4140      
312.60    4112      
312.80    4138      
313.00    4127      
313.20    4138      
313.40    4194      
313.60    4189      
313.80    4188      
314.00    4095      
314.20    4220      
314.40    4187      
314.60    4202      
314.80    4171      
315.00    4187      
315.20    4143      
315.40    4274      
315.60    4160      
315.80    4208      
316.00    4230      
316.20    4143      
316.40    4120      
316.60    4194      
316.80    4156      
317.00    4225      
317.20    4133      
317.40    4166      
317.60    4172      
317.80    4192      
318.00    4175      
318.20    4202      
318.40    4142      
318.60    4148      
318.80    4410      
319.00    4660      
319.20    4687      
319.40    4636      
319.60    4601      
319.80    4678      
320.00    4672      
320.20    4623      
320.40    4719      
320.60    4611      
320.80    4585      
321.00    4685      
321.20    4659      
321.40    4769      
321.60    4642      
321.80    4637      
322.00    4630      
322.20    4617      
322.40    4571      
322.60    4588      
322.80    4590      
323.00    4515      
323.20    4611      
323.40    4604      
323.60    4594      
323.80    4587      
324.00    4584      
324.20    4556      
324.40    4530      
324.60    4577      
324.80    4551      
325.00    4584      
325.20    4552      
325.40    4532      
325.60    4554      
325.80    4546      
326.00    4521      
326.20    4619      
326.40    4512      
326.60    4563      
326.80    4548      
327.00    4517      
327.20    4440      
327.40    4501      
327.60    4460      
327.80    4487      
328.00    4506      
328.20    4520      
328.40    4480      
328.60    4488      
328.80    4502      
329.00    4467      
329.20    4478      
329.40    4447      
329.60    4392      
329.80    4401      
330.00    4402      
330.20    4458      
330.40    4386      
330.60    4408      
330.80    4343      
331.00    4309      
331.20    4325      
331.40    4296      
331.60    4336      
331.80    4340      
332.00    4306      
332.20    4291      
332.40    4407      
332.60    4226      
332.80    4213      
333.00    4149      
333.20    4142      
333.40    4129      
333.60    4172      
333.80    4123      
334.00    4164      
334.20    4091      
334.40    4089      
334.60    4086      
334.80    4094      
335.00    4067      
335.20    4059      
335.40    4035      
335.60    4003      
335.80    4097      
336.00    4065      
336.20    4098      
336.40    3997      
336.60    3957      
336.80    4042      
337.00    3997      
337.20    3992      
337.40    3937      
337.60    3878      
337.80    3906      
338.00    3912      
338.20    4031      
338.40    3943      
338.60    3885      
338.80    3874      
339.00    3946      
339.20    3858      
339.40    3817      
339.60    3891      
339.80    3796      
340.00    3786      
340.20    3924      
340.40    3858      
340.60    3818      
340.80    3768      
341.00    3791      
341.20    3778      
341.40    3771      
341.60    3811      
341.80    3769      
342.00    3714      
342.20    3784      
342.40    3745      
342.60    3712      
342.80    3690      
343.00    3705      
343.20    3746      
343.40    3731      
343.60    3724      
343.80    3733      
344.00    3701      
344.20    3647      
344.40    3736      
344.60    3645      
344.80    3603      
345.00    3637      
345.20    3638      
345.40    3608      
345.60    3666      
345.80    3661      
346.00    3614      
346.20    3620      
346.40    3636      
346.60    3566      
346.80    3596      
347.00    3635      
347.20    3609      
347.40    3589      
347.60    3546      
347.80    3604      
348.00    3526      
348.20    3554      
348.40    3558      
348.60    3538      
348.80    3502      
349.00    3480      
349.20    3535      
349.40    3494      
349.60    3540      
349.80    3430      
350.00    3505      
350.20    3618      
350.40    3493      
350.60    3451      
350.80    3429      
351.00    3412      
351.20    3453      
351.40    3406      
351.60    3439      
351.80    3406      
352.00    3428      
352.20    3460      
352.40    3472      
352.60    3453      
352.80    3385      
353.00    3380      
353.20    3347      
353.40    3423      
353.60    3455      
353.80    3386      
354.00    3353      
354.20    3327      
354.40    3317      
354.60    3339      
354.80    3462      
355.00    3421      
355.20    3324      
355.40    3348      
355.60    3348      
355.80    3264      
356.00    3328      
356.20    3329      
356.40    3319      
356.60    3268      
356.80    3302      
357.00    3333      
357.20    3340      
357.40    3244      
357.60    3269      
357.80    3320      
358.00    3293      
358.20    3297      
358.40    3284      
358.60    3355      
358.80    3237      
359.00    3221      
359.20    3270      
359.40    3182      
359.60    3224      
359.80    3182      
360.00    3225      
360.20    3238      
360.40    3323      
360.60    3260      
360.80    3184      
361.00    3154      
361.20    3246      
361.40    3203      
361.60    3224      
361.80    3236      
362.00    3146      
362.20    3163      
362.40    3232      
362.60    3267      
362.80    3176      
363.00    3191      
363.20    3164      
363.40    3251      
363.60    3202      
363.80    3247      
364.00    3154      
364.20    3099      
364.40    3165      
364.60    3176      
364.80    3190      
365.00    3176      
365.20    3100      
365.40    3114      
365.60    3113      
365.80    3109      
366.00    3075      
366.20    3089      
366.40    3042      
366.60    3086      
366.80    3080      
367.00    3093      
367.20    3064      
367.40    3061      
367.60    3039      
367.80    3069      
368.00    3126      
368.20    3004      
368.40    3111      
368.60    3027      
368.80    3031      
369.00    3038      
369.20    3052      
369.40    3099      
369.60    3017      
369.80    3008      
370.00    3005      
370.20    3046      
370.40    3024      
370.60    2994      
370.80    3024      
371.00    2946      
371.20    2970      
371.40    2972      
371.60    2971      
371.80    2958      
372.00    2998      
372.20    2985      
372.40    2982      
372.60    2978      
372.80    3023      
373.00    2986      
373.20    2929      
373.40    2935      
373.60    2937      
373.80    2961      
374.00    2891      
374.20    2876      
374.40    2899      
374.60    2929      
374.80    2947      
375.00    2927      
375.20    2932      
375.40    2892      
375.60    2909      
375.80    2961      
376.00    2921      
376.20    2885      
376.40    2837      
376.60    2854      
376.80    2857      
377.00    2899      
377.20    2926      
377.40    2868      
377.60    2870      
377.80    2948      
378.00    2844      
378.20    2860      
378.40    2859      
378.60    2921      
378.80    2827      
379.00    2839      
379.20    2877      
379.40    2822      
379.60    2803      
379.80    2808      
380.00    2802      
