曲线1               
波长      数值      
300.00    -5        
300.10    -10       
300.20    10        
300.30    -26       
300.40    26        
300.50    53        
300.60    14        
300.70    58        
300.80    7         
300.90    28        
301.00    14        
301.10    48        
301.20    -27       
301.30    36        
301.40    12        
301.50    3         
301.60    17        
301.70    62        
301.80    -20       
301.90    -33       
302.00    -122      
302.10    -130      
302.20    -50       
302.30    -62       
302.40    13        
302.50    -24       
302.60    -13       
302.70    7         
302.80    1         
302.90    -31       
303.00    4         
303.10    32        
303.20    -28       
303.30    -4        
303.40    8         
303.50    46        
303.60    -71       
303.70    44        
303.80    -19       
303.90    113       
304.00    5         
304.10    -13       
304.20    -59       
304.30    -24       
304.40    -31       
304.50    -55       
304.60    -56       
304.70    -39       
304.80    3         
304.90    40        
305.00    67        
305.10    50        
305.20    18        
305.30    -11       
305.40    -4        
305.50    -14       
305.60    16        
305.70    -52       
305.80    45        
305.90    4         
306.00    -39       
306.10    42        
306.20    23        
306.30    -10       
306.40    24        
306.50    -20       
306.60    41        
306.70    -4        
306.80    2         
306.90    -36       
307.00    9         
307.10    53        
307.20    75        
307.30    47        
307.40    20        
307.50    -29       
307.60    -47       
307.70    22        
307.80    -62       
307.90    -56       
308.00    -56       
308.10    19        
308.20    -48       
308.30    49        
308.40    -69       
308.50    28        
308.60    0         
308.70    -27       
308.80    23        
308.90    -6        
309.00    -7        
309.10    -36       
309.20    80        
309.30    -54       
309.40    30        
309.50    35        
309.60    5         
309.70    34        
309.80    39        
309.90    64        
310.00    -17       
310.10    38        
310.20    -49       
310.30    -52       
310.40    -3        
310.50    -2        
310.60    29        
310.70    -1        
310.80    22        
310.90    -8        
311.00    -39       
311.10    27        
311.20    -40       
311.30    -11       
311.40    12        
311.50    -26       
311.60    -5        
311.70    47        
311.80    64        
311.90    -80       
312.00    -9        
312.10    -12       
312.20    -93       
312.30    -86       
312.40    17        
312.50    -31       
312.60    5         
312.70    -23       
312.80    -33       
312.90    -74       
313.00    -69       
313.10    32        
313.20    23        
313.30    49        
313.40    -75       
313.50    -48       
313.60    -1        
313.70    -42       
313.80    -39       
313.90    37        
314.00    47        
314.10    41        
314.20    9         
314.30    -41       
314.40    51        
314.50    3         
314.60    18        
314.70    -14       
314.80    -79       
314.90    -26       
315.00    29        
315.10    -75       
315.20    25        
315.30    -31       
315.40    -12       
315.50    -44       
315.60    -96       
315.70    -60       
315.80    -51       
315.90    10        
316.00    -36       
316.10    50        
316.20    -58       
316.30    -11       
316.40    -44       
316.50    -8        
316.60    11        
316.70    -17       
316.80    -39       
316.90    -65       
317.00    -10       
317.10    -8        
317.20    45        
317.30    16        
317.40    47        
317.50    55        
317.60    -24       
317.70    -51       
317.80    6         
317.90    -13       
318.00    16        
318.10    0         
318.20    -19       
318.30    -88       
318.40    -5        
318.50    14        
318.60    14        
318.70    -118      
318.80    -92       
318.90    -54       
319.00    -139      
319.10    -3        
319.20    -46       
319.30    -78       
319.40    4         
319.50    21        
319.60    45        
319.70    -7        
319.80    12        
319.90    -61       
320.00    20        
320.10    19        
320.20    -28       
320.30    -52       
320.40    -86       
320.50    -1        
320.60    17        
320.70    43        
320.80    -51       
320.90    39        
321.00    -34       
321.10    -27       
321.20    5         
321.30    19        
321.40    -24       
321.50    -21       
321.60    10        
321.70    1         
321.80    -19       
321.90    67        
322.00    8         
322.10    -46       
322.20    67        
322.30    -82       
322.40    -105      
322.50    22        
322.60    37        
322.70    -56       
322.80    -43       
322.90    4         
323.00    -17       
323.10    27        
323.20    0         
323.30    6         
323.40    17        
323.50    -28       
323.60    -17       
323.70    -20       
323.80    -131      
323.90    -24       
324.00    66        
324.10    31        
324.20    44        
324.30    56        
324.40    -34       
324.50    3         
324.60    -76       
324.70    -35       
324.80    -27       
324.90    15        
325.00    -5        
325.10    57        
325.20    -66       
325.30    35        
325.40    -28       
325.50    -67       
325.60    -19       
325.70    -62       
325.80    -96       
325.90    -50       
326.00    -5        
326.10    4         
326.20    9         
326.30    -24       
326.40    33        
326.50    13        
326.60    16        
326.70    -3        
326.80    -39       
326.90    -12       
327.00    -152      
327.10    -18       
327.20    -67       
327.30    50        
327.40    35        
327.50    7         
327.60    27        
327.70    -44       
327.80    -7        
327.90    -5        
328.00    -52       
328.10    8         
328.20    -9        
328.30    -5        
328.40    -23       
328.50    56        
328.60    62        
328.70    -52       
328.80    20        
328.90    -26       
329.00    -8        
329.10    -42       
329.20    -9        
329.30    -15       
329.40    19        
329.50    15        
329.60    29        
329.70    5         
329.80    29        
329.90    -5        
330.00    -18       
330.10    -33       
330.20    -2        
330.30    -18       
330.40    4         
330.50    -10       
330.60    33        
330.70    61        
330.80    78        
330.90    6         
331.00    17        
331.10    0         
331.20    -14       
331.30    -30       
331.40    -104      
331.50    26        
331.60    3         
331.70    14        
331.80    -17       
331.90    -34       
332.00    -2        
332.10    9         
332.20    -9        
332.30    -118      
332.40    -90       
332.50    52        
332.60    -28       
332.70    -48       
332.80    -45       
332.90    -45       
333.00    55        
333.10    30        
333.20    -36       
333.30    39        
333.40    37        
333.50    -80       
333.60    -112      
333.70    -14       
333.80    -1        
333.90    -8        
334.00    -18       
334.10    -30       
334.20    35        
334.30    57        
334.40    10        
334.50    -23       
334.60    13        
334.70    -122      
334.80    -66       
334.90    21        
335.00    -19       
335.10    -49       
335.20    58        
335.30    65        
335.40    41        
335.50    35        
335.60    4         
335.70    68        
335.80    -1        
335.90    -36       
336.00    -53       
336.10    -32       
336.20    12        
336.30    5         
336.40    69        
336.50    15        
336.60    -40       
336.70    -46       
336.80    28        
336.90    8         
337.00    -46       
337.10    31        
337.20    -5        
337.30    19        
337.40    20        
337.50    1         
337.60    13        
337.70    29        
337.80    -21       
337.90    -125      
338.00    -46       
338.10    -79       
338.20    -3        
338.30    -35       
338.40    16        
338.50    13        
338.60    -44       
338.70    57        
338.80    -10       
338.90    2         
339.00    -261      
339.10    -49       
339.20    -27       
339.30    -16       
339.40    0         
339.50    -15       
339.60    15        
339.70    7         
339.80    -104      
339.90    -56       
340.00    31        
340.10    -19       
340.20    7         
340.30    -95       
340.40    -16       
340.50    -21       
340.60    14        
340.70    -5        
340.80    0         
340.90    8         
341.00    26        
341.10    -1        
341.20    21        
341.30    4         
341.40    -10       
341.50    -5        
341.60    -18       
341.70    -17       
341.80    23        
341.90    -31       
342.00    -35       
342.10    10        
342.20    7         
342.30    -26       
342.40    -4        
342.50    -60       
342.60    -82       
342.70    38        
342.80    41        
342.90    -101      
343.00    -32       
343.10    -87       
343.20    11        
343.30    26        
343.40    30        
343.50    13        
343.60    -25       
343.70    -33       
343.80    -16       
343.90    -57       
344.00    -14       
344.10    26        
344.20    66        
344.30    16        
344.40    49        
344.50    30        
344.60    -51       
344.70    -31       
344.80    -12       
344.90    -24       
345.00    11        
345.10    27        
345.20    5         
345.30    45        
345.40    59        
345.50    63        
345.60    -26       
345.70    23        
345.80    -71       
345.90    -13       
346.00    -77       
346.10    -32       
346.20    -93       
346.30    16        
346.40    -6        
346.50    -22       
346.60    28        
346.70    -26       
346.80    42        
346.90    -18       
347.00    -23       
347.10    -46       
347.20    -71       
347.30    25        
347.40    39        
347.50    16        
347.60    -36       
347.70    -9        
347.80    -26       
347.90    -68       
348.00    9         
348.10    -58       
348.20    23        
348.30    -67       
348.40    -14       
348.50    7         
348.60    21        
348.70    35        
348.80    -20       
348.90    -55       
349.00    -13       
349.10    22        
349.20    -40       
349.30    -72       
349.40    20        
349.50    -110      
349.60    -9        
349.70    44        
349.80    13        
349.90    28        
350.00    -13       
350.10    16        
350.20    -15       
350.30    -45       
350.40    -113      
350.50    16        
350.60    -19       
350.70    58        
350.80    61        
350.90    42        
351.00    34        
351.10    -37       
351.20    -88       
351.30    -29       
351.40    -32       
351.50    -73       
351.60    -120      
351.70    -56       
351.80    -1        
351.90    58        
352.00    3         
352.10    1         
352.20    40        
352.30    3         
352.40    -74       
352.50    6         
352.60    -36       
352.70    -44       
352.80    16        
352.90    24        
353.00    32        
353.10    32        
353.20    45        
353.30    -54       
353.40    -24       
353.50    -59       
353.60    -35       
353.70    -45       
353.80    5         
353.90    -22       
354.00    41        
354.10    -53       
354.20    27        
354.30    13        
354.40    45        
354.50    6         
354.60    -89       
354.70    -12       
354.80    -62       
354.90    -72       
355.00    17        
355.10    9         
355.20    -13       
355.30    -123      
355.40    31        
355.50    -13       
355.60    -21       
355.70    34        
355.80    63        
355.90    -91       
356.00    7         
356.10    -49       
356.20    11        
356.30    16        
356.40    45        
356.50    43        
356.60    -16       
356.70    -2        
356.80    -37       
356.90    32        
357.00    -54       
357.10    -30       
357.20    17        
357.30    -14       
357.40    -11       
357.50    41        
357.60    26        
357.70    33        
357.80    40        
357.90    -94       
358.00    15        
358.10    -68       
358.20    -36       
358.30    26        
358.40    -67       
358.50    -19       
358.60    -14       
358.70    25        
358.80    -18       
358.90    39        
359.00    -47       
359.10    23        
359.20    -6        
359.30    -78       
359.40    2         
359.50    23        
359.60    -82       
359.70    -2        
359.80    86        
359.90    38        
360.00    42        
360.10    32        
360.20    19        
360.30    -86       
360.40    -31       
360.50    6         
360.60    -4        
360.70    68        
360.80    17        
360.90    51        
361.00    -16       
361.10    35        
361.20    -16       
361.30    11        
361.40    -32       
361.50    -5        
361.60    11        
361.70    29        
361.80    -73       
361.90    5         
362.00    6         
362.10    36        
362.20    9         
362.30    -38       
362.40    -46       
362.50    29        
362.60    -54       
362.70    -30       
362.80    19        
362.90    7         
363.00    2         
363.10    12        
363.20    28        
363.30    -80       
363.40    -38       
363.50    2         
363.60    -100      
363.70    -58       
363.80    -4        
363.90    71        
364.00    -56       
364.10    -53       
364.20    -1        
364.30    74        
364.40    171       
364.50    118       
364.60    7         
364.70    9         
364.80    -70       
364.90    34        
365.00    62        
365.10    22        
365.20    1         
365.30    39        
365.40    73        
365.50    -19       
365.60    -26       
365.70    46        
365.80    36        
365.90    -33       
366.00    -130      
366.10    32        
366.20    -8        
366.30    6         
366.40    73        
366.50    -47       
366.60    57        
366.70    -26       
366.80    51        
366.90    65        
367.00    -28       
367.10    -50       
367.20    -34       
367.30    -10       
367.40    14        
367.50    -24       
367.60    0         
367.70    24        
367.80    38        
367.90    18        
368.00    -78       
368.10    2         
368.20    -8        
368.30    -33       
368.40    -35       
368.50    -5        
368.60    -6        
368.70    58        
368.80    17        
368.90    14        
369.00    -57       
369.10    -3        
369.20    -95       
