曲线1               
波长      数值      
586.00    32        
586.01    44        
586.02    -5        
586.03    -14       
586.04    1         
586.05    -11       
586.06    24        
586.07    44        
586.08    29        
586.09    34        
586.10    -11       
586.11    -47       
586.12    -9        
586.13    1         
586.14    -100      
586.15    -61       
586.16    -16       
586.17    -24       
586.18    -11       
586.19    -2        
586.20    -43       
586.21    -12       
586.22    -5        
586.23    6         
586.24    -58       
586.25    46        
586.26    14        
586.27    -152      
586.28    -68       
586.29    -74       
586.30    -28       
586.31    7         
586.32    -10       
586.33    -85       
586.34    33        
586.35    -85       
586.36    -43       
586.37    -34       
586.38    -29       
586.39    43        
586.40    12        
586.41    11        
586.42    -2        
586.43    -19       
586.44    -16       
586.45    -91       
586.46    -19       
586.47    -14       
586.48    -62       
586.49    -81       
586.50    -24       
586.51    -52       
586.52    -61       
586.53    -45       
586.54    -29       
586.55    4         
586.56    -5        
586.57    -41       
586.58    -60       
586.59    -14       
586.60    -118      
586.61    -37       
586.62    -6        
586.63    -62       
586.64    -3        
586.65    27        
586.66    9         
586.67    -17       
586.68    44        
586.69    -35       
586.70    -17       
586.71    -152      
586.72    19        
586.73    31        
586.74    -6        
586.75    -99       
586.76    6         
586.77    -104      
586.78    -18       
586.79    -46       
586.80    -39       
586.81    -4        
586.82    11        
586.83    -42       
586.84    -17       
586.85    -42       
586.86    -7        
586.87    -37       
586.88    -7        
586.89    24        
586.90    2         
586.91    -14       
586.92    6         
586.93    16        
586.94    62        
586.95    49        
586.96    4         
586.97    34        
586.98    56        
586.99    -17       
587.00    -11       
587.01    43        
587.02    -11       
587.03    7         
587.04    65        
587.05    -5        
587.06    25        
587.07    -30       
587.08    -16       
587.09    28        
587.10    -71       
587.11    5         
587.12    8         
587.13    -31       
587.14    -17       
587.15    -92       
587.16    46        
587.17    -22       
587.18    7         
587.19    25        
587.20    -54       
587.21    3         
587.22    -55       
587.23    -67       
587.24    -17       
587.25    -8        
587.26    -14       
587.27    -20       
587.28    -46       
587.29    -46       
587.30    -32       
587.31    -42       
587.32    -11       
587.33    -141      
587.34    -27       
587.35    -34       
587.36    18        
587.37    14        
587.38    8         
587.39    13        
587.40    -63       
587.41    -26       
587.42    32        
587.43    2         
587.44    5         
587.45    -30       
587.46    -43       
587.47    -5        
587.48    -54       
587.49    -2        
587.50    -103      
587.51    -66       
587.52    13        
587.53    -86       
587.54    -38       
587.55    -140      
587.56    -207      
587.57    -56       
587.58    -5        
587.59    39        
587.60    22        
587.61    -113      
587.62    -5        
587.63    -1        
587.64    -56       
587.65    -36       
587.66    -34       
587.67    -54       
587.68    -48       
587.69    -7        
587.70    11        
587.71    -65       
587.72    -14       
587.73    -3        
587.74    32        
587.75    3         
587.76    -20       
587.77    0         
587.78    -49       
587.79    20        
587.80    -80       
587.81    -27       
587.82    22        
587.83    -20       
587.84    -75       
587.85    12        
587.86    -35       
587.87    -62       
587.88    -86       
587.89    -20       
587.90    -35       
587.91    10        
587.92    -58       
587.93    20        
587.94    -16       
587.95    -40       
587.96    -14       
587.97    12        
587.98    -34       
587.99    -21       
588.00    16        
588.01    -4        
588.02    9         
588.03    4         
588.04    -16       
588.05    48        
588.06    -11       
588.07    54        
588.08    59        
588.09    0         
588.10    -34       
588.11    -9        
588.12    49        
588.13    67        
588.14    41        
588.15    7         
588.16    15        
588.17    -89       
588.18    70        
588.19    -45       
588.20    17        
588.21    1         
588.22    17        
588.23    58        
588.24    -28       
588.25    60        
588.26    23        
588.27    39        
588.28    75        
588.29    83        
588.30    69        
588.31    174       
588.32    716       
588.33    813       
588.34    901       
588.35    1039      
588.36    1017      
588.37    1107      
588.38    1192      
588.39    1248      
588.40    1256      
588.41    1316      
588.42    1261      
588.43    1311      
588.44    1318      
588.45    1245      
588.46    1249      
588.47    1243      
588.48    1151      
588.49    1218      
588.50    1152      
588.51    1142      
588.52    1275      
588.53    1146      
588.54    1136      
588.55    1084      
588.56    1094      
588.57    1036      
588.58    996       
588.59    989       
588.60    912       
588.61    923       
588.62    856       
588.63    826       
588.64    774       
588.65    230       
588.66    28        
588.67    85        
588.68    -20       
588.69    -41       
588.70    26        
588.71    28        
588.72    -37       
588.73    -32       
588.74    35        
588.75    -62       
588.76    16        
588.77    -35       
588.78    -48       
588.79    32        
588.80    -91       
588.81    -27       
588.82    3         
588.83    3         
588.84    16        
588.85    -50       
588.86    64        
588.87    78        
588.88    93        
588.89    122       
588.90    668       
588.91    760       
588.92    747       
588.93    808       
588.94    869       
588.95    929       
588.96    1061      
588.97    1188      
588.98    1115      
588.99    1207      
589.00    1203      
589.01    1223      
589.02    1220      
589.03    1290      
589.04    1171      
589.05    1151      
589.06    1080      
589.07    1190      
589.08    1099      
589.09    1126      
589.10    1071      
589.11    1091      
589.12    1106      
589.13    1052      
589.14    1013      
589.15    957       
589.16    947       
589.17    895       
589.18    865       
589.19    786       
589.20    765       
589.21    714       
589.22    177       
589.23    160       
589.24    116       
589.25    122       
589.26    80        
589.27    41        
589.28    69        
589.29    -51       
589.30    -34       
589.31    41        
589.32    16        
589.33    33        
589.34    -11       
589.35    14        
589.36    -79       
589.37    -24       
589.38    -14       
589.39    -31       
589.40    -12       
589.41    45        
589.42    11        
589.43    69        
589.44    51        
589.45    -10       
589.46    -54       
589.47    -11       
589.48    -54       
589.49    -16       
589.50    -62       
589.51    -22       
589.52    8         
589.53    -16       
589.54    -15       
589.55    -2        
589.56    -37       
589.57    -28       
589.58    -4        
589.59    -26       
589.60    5         
589.61    -25       
589.62    -110      
589.63    2         
589.64    14        
589.65    -32       
589.66    0         
589.67    -48       
589.68    -75       
589.69    -60       
589.70    -102      
589.71    8         
589.72    -4        
589.73    -100      
589.74    16        
589.75    -88       
589.76    -128      
589.77    -71       
589.78    -75       
589.79    -18       
589.80    -113      
589.81    -36       
589.82    20        
589.83    -21       
589.84    6         
589.85    17        
589.86    0         
589.87    -28       
589.88    -12       
589.89    12        
589.90    -7        
589.91    -18       
589.92    -70       
589.93    -9        
589.94    49        
589.95    -57       
589.96    31        
589.97    20        
589.98    -20       
589.99    -23       
590.00    -31       
590.01    -40       
590.02    -83       
590.03    22        
590.04    43        
590.05    23        
590.06    -8        
590.07    -34       
590.08    5         
590.09    -68       
590.10    -8        
590.11    -41       
590.12    -33       
590.13    29        
590.14    62        
590.15    -8        
590.16    -10       
590.17    28        
590.18    10        
590.19    50        
590.20    -9        
590.21    6         
590.22    50        
590.23    1         
590.24    29        
590.25    45        
590.26    -43       
590.27    67        
590.28    -90       
590.29    19        
590.30    22        
590.31    32        
590.32    21        
590.33    -60       
590.34    -3        
590.35    -12       
590.36    -28       
590.37    -39       
590.38    30        
590.39    6         
590.40    -8        
590.41    -42       
590.42    -30       
590.43    -1        
590.44    -7        
590.45    -17       
590.46    27        
590.47    8         
590.48    -6        
590.49    16        
590.50    -52       
590.51    -4        
590.52    -46       
590.53    21        
590.54    -44       
590.55    19        
590.56    -30       
590.57    -60       
590.58    -47       
590.59    -56       
590.60    12        
590.61    3         
590.62    -42       
590.63    19        
590.64    -13       
590.65    -24       
590.66    -1        
590.67    -9        
590.68    -68       
590.69    -44       
590.70    -12       
590.71    -88       
590.72    -157      
590.73    4         
590.74    -68       
590.75    -24       
590.76    -67       
590.77    -131      
590.78    -22       
590.79    -45       
590.80    -4        
590.81    14        
590.82    -88       
590.83    -9        
590.84    -54       
590.85    -25       
590.86    -76       
590.87    -16       
590.88    -34       
590.89    -116      
590.90    -31       
590.91    -32       
590.92    -40       
590.93    23        
590.94    44        
590.95    1         
590.96    23        
590.97    -2        
590.98    -24       
590.99    -21       
591.00    -52       
591.01    -2        
591.02    -55       
591.03    -138      
591.04    -45       
591.05    30        
591.06    14        
591.07    7         
591.08    -51       
591.09    -30       
591.10    -134      
591.11    -11       
591.12    -44       
591.13    -12       
591.14    -3        
591.15    12        
591.16    -23       
591.17    -29       
591.18    48        
591.19    6         
591.20    8         
591.21    -39       
591.22    25        
591.23    -14       
591.24    -76       
591.25    35        
591.26    -17       
591.27    12        
591.28    11        
591.29    33        
591.30    -35       
591.31    4         
591.32    44        
591.33    41        
591.34    15        
591.35    -8        
591.36    5         
591.37    -53       
591.38    36        
591.39    53        
591.40    42        
591.41    61        
591.42    36        
591.43    -31       
591.44    36        
591.45    -43       
591.46    -30       
591.47    -4        
591.48    3         
591.49    -42       
591.50    -4        
