曲线1               
波长      数值      
400.00    18        
400.10    -52       
400.20    5         
400.30    -30       
400.40    -56       
400.50    -18       
400.60    -41       
400.70    23        
400.80    -18       
400.90    2         
401.00    68        
401.10    11        
401.20    -71       
401.30    -30       
401.40    16        
401.50    -1        
401.60    20        
401.70    -25       
401.80    1         
401.90    12        
402.00    -5        
402.10    62        
402.20    55        
402.30    -50       
402.40    -87       
402.50    20        
402.60    -96       
402.70    -21       
402.80    54        
402.90    -60       
403.00    -5        
403.10    -115      
403.20    11        
403.30    34        
403.40    21        
403.50    2         
403.60    7         
403.70    -52       
403.80    -10       
403.90    -19       
404.00    -45       
404.10    -42       
404.20    19        
404.30    61        
404.40    45        
404.50    -31       
404.60    -13       
404.70    3         
404.80    -93       
404.90    -18       
405.00    30        
405.10    -51       
405.20    -4        
405.30    19        
405.40    29        
405.50    -18       
405.60    2         
405.70    -32       
405.80    31        
405.90    -5        
406.00    -2        
406.10    31        
406.20    8         
406.30    23        
406.40    19        
406.50    -28       
406.60    -17       
406.70    30        
406.80    -93       
406.90    5         
407.00    19        
407.10    -41       
407.20    -19       
407.30    -12       
407.40    -25       
407.50    -16       
407.60    1         
407.70    -35       
407.80    5         
407.90    11        
408.00    -55       
408.10    -47       
408.20    32        
408.30    20        
408.40    11        
408.50    -16       
408.60    -20       
408.70    -19       
408.80    76        
408.90    19        
409.00    40        
409.10    -62       
409.20    -57       
409.30    -2        
409.40    -36       
409.50    18        
409.60    -1        
409.70    40        
409.80    49        
409.90    53        
410.00    33        
410.10    11        
410.20    51        
410.30    6         
410.40    -72       
410.50    57        
410.60    -13       
410.70    -138      
410.80    54        
410.90    27        
411.00    59        
411.10    45        
411.20    1         
411.30    -11       
411.40    5         
411.50    -106      
411.60    19        
411.70    -9        
411.80    44        
411.90    50        
412.00    71        
412.10    48        
412.20    -37       
412.30    3         
412.40    55        
412.50    -149      
412.60    2         
412.70    22        
412.80    39        
412.90    39        
413.00    47        
413.10    22        
413.20    -5        
413.30    77        
413.40    107       
413.50    33        
413.60    -39       
413.70    39        
413.80    -23       
413.90    -14       
414.00    -31       
414.10    36        
414.20    107       
414.30    26        
414.40    37        
414.50    48        
414.60    17        
414.70    -7        
414.80    -6        
414.90    14        
415.00    76        
415.10    44        
415.20    42        
415.30    72        
415.40    63        
415.50    32        
415.60    -7        
415.70    30        
415.80    -15       
415.90    -88       
416.00    29        
416.10    91        
416.20    -9        
416.30    71        
416.40    60        
416.50    112       
416.60    53        
416.70    53        
416.80    43        
416.90    28        
417.00    57        
417.10    78        
417.20    72        
417.30    98        
417.40    -27       
417.50    104       
417.60    123       
417.70    2         
417.80    -41       
417.90    62        
418.00    71        
418.10    46        
418.20    24        
418.30    64        
418.40    -41       
418.50    43        
418.60    88        
418.70    89        
418.80    139       
418.90    -30       
419.00    83        
419.10    33        
419.20    69        
419.30    -82       
419.40    116       
419.50    43        
419.60    81        
419.70    132       
419.80    155       
419.90    134       
420.00    127       
420.10    -120      
420.20    122       
420.30    86        
420.40    62        
420.50    115       
420.60    169       
420.70    162       
420.80    132       
420.90    162       
421.00    139       
421.10    62        
421.20    141       
421.30    99        
421.40    134       
421.50    51        
421.60    130       
421.70    84        
421.80    168       
421.90    731       
422.00    147       
422.10    709       
422.20    675       
422.30    58        
422.40    745       
422.50    95        
422.60    121       
422.70    131       
422.80    96        
422.90    694       
423.00    127       
423.10    140       
423.20    782       
423.30    167       
423.40    767       
423.50    126       
423.60    127       
423.70    753       
423.80    136       
423.90    150       
424.00    759       
424.10    733       
424.20    723       
424.30    734       
424.40    700       
424.50    751       
424.60    819       
424.70    771       
424.80    801       
424.90    741       
425.00    760       
425.10    872       
425.20    790       
425.30    734       
425.40    761       
425.50    785       
425.60    840       
425.70    752       
425.80    766       
425.90    799       
426.00    837       
426.10    788       
426.20    830       
426.30    800       
426.40    1013      
426.50    797       
426.60    810       
426.70    861       
426.80    833       
426.90    812       
427.00    911       
427.10    884       
427.20    937       
427.30    937       
427.40    825       
427.50    836       
427.60    875       
427.70    888       
427.80    851       
427.90    917       
428.00    917       
428.10    966       
428.20    911       
428.30    957       
428.40    1035      
428.50    951       
428.60    984       
428.70    919       
428.80    1015      
428.90    1013      
429.00    934       
429.10    1036      
429.20    1021      
429.30    980       
429.40    996       
429.50    1054      
429.60    1012      
429.70    1038      
429.80    1081      
429.90    1111      
430.00    1025      
430.10    1062      
430.20    1147      
430.30    1166      
430.40    1119      
430.50    1136      
430.60    1115      
430.70    1113      
430.80    1112      
430.90    1125      
431.00    1212      
431.10    1183      
431.20    1183      
431.30    1228      
431.40    1175      
431.50    1178      
431.60    1302      
431.70    1248      
431.80    1241      
431.90    1174      
432.00    1270      
432.10    1215      
432.20    1257      
432.30    1275      
432.40    1428      
432.50    1290      
432.60    1341      
432.70    1353      
432.80    1442      
432.90    1336      
433.00    1351      
433.10    1369      
433.20    1463      
433.30    1464      
433.40    1437      
433.50    1479      
433.60    1420      
433.70    1523      
433.80    1471      
433.90    1544      
434.00    1519      
434.10    1580      
434.20    1531      
434.30    1685      
434.40    1513      
434.50    1584      
434.60    1637      
434.70    1666      
434.80    1654      
434.90    1645      
435.00    1704      
435.10    1638      
435.20    1677      
435.30    1772      
435.40    1793      
435.50    1805      
435.60    1810      
435.70    1822      
435.80    1873      
435.90    1838      
436.00    1878      
436.10    1862      
436.20    1865      
436.30    1905      
436.40    1949      
436.50    1982      
436.60    2005      
436.70    1984      
436.80    2023      
436.90    2044      
437.00    2077      
437.10    2097      
437.20    2119      
437.30    2140      
437.40    2128      
437.50    2158      
437.60    2277      
437.70    2246      
437.80    2256      
437.90    2336      
438.00    2430      
438.10    2343      
438.20    2350      
438.30    2370      
438.40    2443      
438.50    2404      
438.60    2601      
438.70    2497      
438.80    2518      
438.90    2555      
439.00    2644      
439.10    2677      
439.20    2634      
439.30    2663      
439.40    2744      
439.50    2679      
439.60    2713      
439.70    2780      
439.80    2823      
439.90    2808      
440.00    2908      
440.10    2966      
440.20    2966      
440.30    2979      
440.40    3017      
440.50    3205      
440.60    3123      
440.70    3013      
440.80    3657      
440.90    3711      
441.00    3652      
441.10    3646      
441.20    3757      
441.30    3730      
441.40    3712      
441.50    3643      
441.60    3740      
441.70    3706      
441.80    3681      
441.90    3698      
442.00    3709      
442.10    3689      
442.20    3726      
442.30    3825      
442.40    3763      
442.50    3773      
442.60    3748      
442.70    3722      
442.80    3798      
442.90    3703      
443.00    3738      
443.10    3729      
443.20    3763      
443.30    3809      
443.40    3821      
443.50    3871      
443.60    3818      
443.70    3826      
443.80    3859      
443.90    3759      
444.00    3777      
444.10    3788      
444.20    3799      
444.30    3751      
444.40    3823      
444.50    3799      
444.60    3873      
444.70    3787      
444.80    3889      
444.90    3847      
445.00    3803      
445.10    3791      
445.20    3809      
445.30    3839      
445.40    3845      
445.50    3817      
445.60    3965      
445.70    3845      
445.80    3882      
445.90    3919      
446.00    3886      
446.10    3815      
446.20    3805      
446.30    3793      
446.40    3844      
446.50    3905      
446.60    3867      
446.70    3874      
446.80    3941      
446.90    3939      
447.00    3893      
447.10    3835      
447.20    3865      
447.30    3824      
447.40    3914      
447.50    3833      
447.60    3862      
447.70    3858      
447.80    3930      
447.90    3938      
448.00    3909      
448.10    3871      
448.20    3855      
448.30    3940      
448.40    3811      
448.50    3930      
448.60    3861      
448.70    3882      
448.80    3895      
448.90    3904      
449.00    3837      
449.10    3947      
449.20    3868      
449.30    3855      
449.40    3887      
449.50    3868      
449.60    3855      
449.70    3890      
449.80    3998      
449.90    3873      
450.00    3879      
450.10    3868      
450.20    3885      
450.30    3891      
450.40    3997      
450.50    3840      
450.60    3821      
450.70    3836      
450.80    3898      
450.90    3877      
451.00    4015      
451.10    3962      
451.20    3929      
451.30    3929      
451.40    3931      
451.50    3966      
451.60    3943      
451.70    3933      
451.80    3937      
451.90    3915      
452.00    3948      
452.10    3949      
452.20    3950      
452.30    3969      
452.40    4004      
452.50    3941      
452.60    3982      
452.70    3942      
452.80    3895      
452.90    3940      
453.00    4026      
453.10    4000      
453.20    3945      
453.30    4033      
453.40    3964      
453.50    3983      
453.60    4002      
453.70    4028      
453.80    3997      
453.90    3932      
454.00    4031      
454.10    4007      
454.20    4018      
454.30    3985      
454.40    4060      
454.50    4042      
454.60    3998      
454.70    4019      
454.80    4025      
454.90    4065      
455.00    4021      
455.10    4055      
455.20    4000      
455.30    4046      
455.40    4081      
455.50    4084      
455.60    4119      
455.70    4007      
455.80    4006      
455.90    4113      
456.00    4081      
456.10    4009      
