曲线1               
波长      数值      
300.00    -127      
300.20    -27       
300.40    -6        
300.60    36        
300.80    -91       
301.00    -80       
301.20    -42       
301.40    17        
301.60    -5        
301.80    41        
302.00    -26       
302.20    37        
302.40    9         
302.60    14        
302.80    6         
303.00    -4        
303.20    -7        
303.40    -78       
303.60    22        
303.80    22        
304.00    1         
304.20    -12       
304.40    33        
304.60    -28       
304.80    -3        
305.00    -28       
305.20    27        
305.40    -56       
305.60    -101      
305.80    -57       
306.00    -11       
306.20    24        
306.40    -25       
306.60    -3        
306.80    -37       
307.00    -60       
307.20    37        
307.40    20        
307.60    -64       
307.80    -110      
308.00    6         
308.20    -42       
308.40    38        
308.60    22        
308.80    28        
309.00    -25       
309.20    -110      
309.40    18        
309.60    23        
309.80    -42       
310.00    25        
310.20    -15       
310.40    -76       
310.60    64        
310.80    61        
311.00    -15       
311.20    20        
311.40    -25       
311.60    -22       
311.80    21        
312.00    -20       
312.20    -8        
312.40    -26       
312.60    -45       
312.80    2         
313.00    48        
313.20    -47       
313.40    -15       
313.60    34        
313.80    -8        
314.00    20        
314.20    -9        
314.40    53        
314.60    15        
314.80    -31       
315.00    8         
315.20    25        
315.40    5         
315.60    -9        
315.80    21        
316.00    -13       
316.20    62        
316.40    15        
316.60    -11       
316.80    -23       
317.00    -19       
317.20    -10       
317.40    27        
317.60    -26       
317.80    40        
318.00    -96       
318.20    -15       
318.40    33        
318.60    17        
318.80    -88       
319.00    -25       
319.20    -6        
319.40    41        
319.60    -28       
319.80    19        
320.00    -6        
320.20    -32       
320.40    10        
320.60    2         
320.80    -88       
321.00    -25       
321.20    -6        
321.40    6         
321.60    -9        
321.80    17        
322.00    54        
322.20    -28       
322.40    26        
322.60    -24       
322.80    -40       
323.00    45        
323.20    9         
323.40    -4        
323.60    -111      
323.80    -54       
324.00    -21       
324.20    46        
324.40    -23       
324.60    8         
324.80    -1        
325.00    -41       
325.20    42        
325.40    16        
325.60    10        
325.80    46        
326.00    -39       
326.20    -16       
326.40    -36       
326.60    35        
326.80    18        
327.00    -90       
327.20    14        
327.40    29        
327.60    -24       
327.80    -20       
328.00    -27       
328.20    49        
328.40    -65       
328.60    60        
328.80    -23       
329.00    -70       
329.20    -58       
329.40    -53       
329.60    12        
329.80    28        
330.00    55        
330.20    11        
330.40    -26       
330.60    -55       
330.80    7         
331.00    -3        
331.20    -35       
331.40    10        
331.60    8         
331.80    -61       
332.00    41        
332.20    -92       
332.40    -94       
332.60    -1        
332.80    -62       
333.00    22        
333.20    34        
333.40    0         
333.60    -7        
333.80    11        
334.00    -11       
334.20    47        
334.40    -89       
334.60    -23       
334.80    -43       
335.00    -11       
335.20    -2        
335.40    -2        
335.60    -21       
335.80    -104      
336.00    -22       
336.20    -15       
336.40    26        
336.60    35        
336.80    26        
337.00    -89       
337.20    -78       
337.40    64        
337.60    -37       
337.80    31        
338.00    41        
338.20    -109      
338.40    -22       
338.60    3         
338.80    19        
339.00    24        
339.20    -52       
339.40    -10       
