曲线1               
波长      数值      
300.00    682       
300.11    74        
300.22    93        
300.33    701       
300.44    677       
300.55    200       
300.66    676       
300.77    735       
300.88    753       
300.99    715       
301.10    721       
301.21    735       
301.32    731       
301.43    768       
301.54    749       
301.65    689       
301.76    653       
301.87    746       
301.98    803       
302.09    754       
302.20    794       
302.31    732       
302.42    815       
302.53    723       
302.64    843       
302.75    807       
302.86    773       
302.97    726       
303.08    775       
303.19    818       
303.30    786       
303.41    747       
303.52    812       
303.63    834       
303.74    812       
303.85    775       
303.96    766       
304.07    792       
304.18    811       
304.29    774       
304.40    875       
304.51    894       
304.62    856       
304.73    852       
304.84    809       
304.95    807       
305.06    782       
305.17    868       
305.28    802       
305.39    859       
305.50    918       
305.61    873       
305.72    873       
305.83    931       
305.94    998       
306.05    980       
306.16    876       
306.27    906       
306.38    974       
306.49    973       
306.60    921       
306.71    960       
306.82    957       
306.93    1013      
307.04    1044      
307.15    958       
307.26    970       
307.37    988       
307.48    1009      
307.59    975       
307.70    1090      
307.81    1040      
307.92    1102      
308.03    1072      
308.14    1094      
308.25    1101      
308.36    1082      
308.47    1162      
308.58    1072      
308.69    1113      
308.80    1121      
308.91    1138      
309.02    1090      
309.13    1071      
309.24    1158      
309.35    1164      
309.46    1128      
309.57    1135      
309.68    1129      
309.79    1108      
309.90    1154      
310.01    1251      
310.12    1118      
310.23    1169      
310.34    1102      
310.45    1132      
310.56    1144      
310.67    1115      
310.78    1145      
310.89    1189      
311.00    1183      
311.11    1266      
311.22    1157      
311.33    1280      
311.44    1179      
311.55    1179      
311.66    1238      
311.77    1161      
311.88    1169      
311.99    1247      
312.10    1241      
312.21    1243      
312.32    1251      
312.43    1351      
312.54    1263      
312.65    1235      
312.76    1235      
312.87    1196      
312.98    1239      
313.09    1241      
313.20    1235      
313.31    1287      
313.42    1290      
313.53    1354      
313.64    1323      
313.75    1277      
313.86    1315      
313.97    1369      
314.08    1324      
314.19    1308      
314.30    1336      
314.41    1388      
314.52    1428      
314.63    1293      
314.74    1382      
314.85    1401      
314.96    1353      
315.07    1337      
315.18    1338      
315.29    1335      
315.40    1346      
315.51    1383      
315.62    1437      
315.73    1429      
315.84    1432      
315.95    1425      
316.06    1384      
316.17    1474      
316.28    1423      
316.39    1402      
316.50    1505      
316.61    1544      
316.72    1441      
316.83    1461      
316.94    1497      
317.05    1471      
317.16    1522      
317.27    1490      
317.38    1479      
317.49    1494      
317.60    1477      
317.71    1475      
317.82    1489      
317.93    1593      
318.04    1534      
318.15    1543      
318.26    1491      
318.37    1503      
318.48    1537      
318.59    1634      
318.70    1536      
318.81    1551      
318.92    1572      
319.03    1590      
319.14    1603      
319.25    1552      
319.36    1518      
319.47    1613      
319.58    1557      
319.69    1541      
319.80    1685      
319.91    1594      
320.02    1574      
320.13    1675      
320.24    1673      
320.35    1613      
320.46    1572      
320.57    1657      
320.68    1611      
320.79    1618      
320.90    1625      
321.01    1652      
321.12    1748      
321.23    1670      
321.34    1678      
321.45    1694      
321.56    1708      
321.67    1709      
321.78    1651      
321.89    1688      
322.00    1718      
322.11    1724      
322.22    1717      
322.33    1782      
322.44    1742      
322.55    1795      
322.66    1779      
322.77    1708      
322.88    1731      
322.99    1689      
323.10    1812      
323.21    1776      
323.32    1762      
323.43    1779      
323.54    1792      
323.65    1821      
323.76    1803      
323.87    1751      
323.98    1895      
324.09    1743      
324.20    1801      
324.31    1843      
324.42    1851      
324.53    1823      
324.64    1873      
324.75    1816      
324.86    1945      
324.97    1836      
325.08    1817      
325.19    1814      
325.30    1819      
325.41    1866      
325.52    1937      
325.63    1879      
325.74    1908      
325.85    1903      
325.96    1875      
326.07    1857      
326.18    2054      
326.29    1929      
326.40    1837      
326.51    1892      
326.62    1915      
326.73    1893      
326.84    1932      
326.95    1920      
327.06    1948      
327.17    1937      
327.28    1979      
327.39    1995      
327.50    1962      
327.61    1924      
327.72    1952      
327.83    2011      
327.94    2011      
328.05    1968      
328.16    2014      
328.27    2021      
328.38    1987      
328.49    1966      
328.60    1990      
328.71    1946      
328.82    2023      
328.93    2016      
329.04    2018      
329.15    2065      
329.26    2126      
329.37    2042      
329.48    2081      
329.59    2046      
329.70    1979      
