曲线1               
波长      数值      
550.00    -112      
550.10    14        
550.20    20        
550.30    -91       
550.40    -1        
550.50    19        
550.60    -87       
550.70    47        
550.80    1         
550.90    -20       
551.00    -9        
551.10    9         
551.20    -64       
551.30    -7        
551.40    -18       
551.50    -18       
551.60    45        
551.70    59        
551.80    -37       
551.90    -70       
552.00    27        
552.10    17        
552.20    -87       
552.30    -63       
552.40    -34       
552.50    43        
552.60    -59       
552.70    44        
552.80    -4        
552.90    63        
553.00    -41       
553.10    -30       
553.20    -22       
553.30    -21       
553.40    -53       
553.50    -12       
553.60    -4        
553.70    -4        
553.80    8         
553.90    23        
554.00    23        
554.10    51        
554.20    -40       
554.30    -21       
554.40    24        
554.50    46        
554.60    28        
554.70    -41       
554.80    -37       
554.90    42        
555.00    36        
555.10    23        
555.20    9         
555.30    3         
555.40    -9        
555.50    -56       
555.60    -11       
555.70    -94       
555.80    -4        
555.90    45        
556.00    24        
556.10    -8        
556.20    -26       
556.30    5         
556.40    -42       
556.50    -69       
556.60    -142      
556.70    4         
556.80    -16       
556.90    -13       
557.00    42        
557.10    7         
557.20    71        
557.30    6         
557.40    -27       
557.50    -35       
557.60    -52       
557.70    -60       
557.80    -51       
557.90    -78       
558.00    -20       
558.10    -19       
558.20    4         
558.30    -62       
558.40    36        
558.50    25        
558.60    -41       
558.70    -9        
558.80    -46       
558.90    41        
559.00    -21       
559.10    17        
559.20    0         
559.30    -38       
559.40    1         
559.50    -46       
559.60    32        
559.70    -8        
559.80    59        
559.90    24        
560.00    -28       
560.10    -44       
560.20    -8        
560.30    -40       
560.40    25        
560.50    -25       
560.60    28        
560.70    -29       
560.80    28        
560.90    -23       
561.00    26        
561.10    36        
561.20    23        
561.30    20        
561.40    8         
561.50    42        
561.60    18        
561.70    -17       
561.80    -21       
561.90    -68       
562.00    -78       
562.10    -19       
562.20    10        
562.30    26        
562.40    28        
562.50    67        
562.60    -32       
562.70    23        
562.80    -16       
562.90    8         
563.00    -23       
563.10    -99       
563.20    40        
563.30    -21       
563.40    72        
563.50    -30       
563.60    16        
563.70    7         
563.80    -48       
563.90    -24       
564.00    -133      
564.10    -80       
564.20    -78       
564.30    30        
564.40    -38       
564.50    9         
564.60    61        
564.70    37        
564.80    15        
564.90    14        
565.00    23        
565.10    -34       
565.20    -29       
565.30    -40       
565.40    2         
565.50    37        
565.60    -12       
565.70    33        
565.80    -1        
565.90    8         
566.00    39        
566.10    -37       
566.20    -191      
566.30    -44       
566.40    33        
566.50    -80       
566.60    -30       
566.70    -7        
566.80    36        
566.90    -17       
567.00    38        
567.10    -21       
567.20    -13       
567.30    -164      
567.40    2         
567.50    -32       
567.60    -35       
567.70    52        
567.80    38        
567.90    -21       
568.00    -14       
568.10    -39       
568.20    10        
568.30    -2        
568.40    -33       
568.50    66        
568.60    -31       
568.70    -58       
568.80    34        
568.90    71        
569.00    59        
569.10    -18       
569.20    -48       
569.30    -34       
569.40    -114      
569.50    -35       
569.60    -1        
569.70    -5        
569.80    -1        
569.90    -21       
570.00    37        
570.10    -3        
570.20    -68       
570.30    21        
570.40    -27       
570.50    -45       
570.60    9         
570.70    -41       
570.80    -35       
570.90    88        
571.00    -33       
571.10    23        
571.20    -19       
571.30    8         
571.40    -37       
571.50    -38       
571.60    -34       
571.70    -161      
571.80    -170      
571.90    -86       
572.00    44        
572.10    24        
572.20    -15       
572.30    6         
572.40    -70       
572.50    -31       
572.60    -120      
572.70    -5        
572.80    -10       
572.90    -11       
573.00    0         
573.10    -7        
573.20    -80       
573.30    37        
573.40    -18       
573.50    -47       
573.60    -61       
573.70    29        
573.80    -43       
573.90    -32       
574.00    -140      
574.10    15        
574.20    -77       
574.30    -33       
574.40    31        
574.50    -63       
574.60    -17       
574.70    -41       
574.80    16        
574.90    -8        
575.00    9         
575.10    -34       
575.20    -12       
575.30    24        
575.40    45        
575.50    -85       
575.60    -1        
575.70    7         
575.80    41        
575.90    -28       
576.00    -11       
576.10    10        
576.20    -70       
576.30    19        
576.40    65        
576.50    47        
576.60    -1        
576.70    -7        
576.80    -54       
576.90    -58       
577.00    14        
577.10    6         
577.20    -48       
577.30    -27       
577.40    74        
577.50    43        
577.60    -110      
577.70    5         
577.80    -73       
577.90    -17       
578.00    -33       
578.10    20        
578.20    -32       
578.30    -86       
578.40    38        
578.50    28        
578.60    15        
578.70    35        
578.80    12        
578.90    -7        
579.00    -21       
579.10    -110      
579.20    34        
579.30    -33       
579.40    13        
579.50    34        
579.60    61        
579.70    28        
579.80    -10       
579.90    3         
580.00    17        
580.10    21        
580.20    -30       
580.30    7         
580.40    -11       
580.50    59        
580.60    -10       
580.70    12        
580.80    -33       
580.90    44        
581.00    33        
581.10    -15       
581.20    41        
581.30    31        
581.40    -45       
581.50    -1        
581.60    35        
581.70    -36       
581.80    -15       
581.90    26        
582.00    32        
582.10    36        
582.20    0         
582.30    -64       
582.40    26        
582.50    -6        
582.60    -32       
582.70    40        
582.80    27        
582.90    -109      
583.00    -17       
583.10    -109      
583.20    -8        
583.30    -27       
583.40    -15       
583.50    -8        
583.60    12        
583.70    57        
583.80    3         
583.90    56        
584.00    46        
584.10    27        
584.20    -35       
584.30    23        
584.40    22        
584.50    -49       
584.60    -2        
584.70    -22       
584.80    65        
584.90    35        
585.00    -24       
585.10    -30       
585.20    20        
585.30    19        
585.40    -39       
585.50    -22       
585.60    -7        
585.70    -52       
585.80    -70       
585.90    83        
586.00    44        
586.10    45        
586.20    -15       
586.30    -173      
586.40    39        
586.50    -9        
586.60    -21       
586.70    38        
586.80    28        
586.90    18        
587.00    24        
587.10    39        
587.20    -19       
587.30    -5        
587.40    40        
587.50    4         
587.60    47        
587.70    -17       
587.80    59        
587.90    66        
588.00    51        
588.10    55        
588.20    8         
588.30    37        
588.40    68        
588.50    34        
588.60    -57       
588.70    -35       
588.80    33        
588.90    -56       
589.00    -75       
589.10    44        
589.20    36        
589.30    18        
589.40    45        
589.50    8         
589.60    29        
589.70    38        
589.80    -1        
589.90    35        
590.00    -57       
590.10    68        
590.20    51        
590.30    10        
590.40    -8        
590.50    37        
590.60    -5        
590.70    -35       
590.80    38        
590.90    -38       
591.00    26        
591.10    -50       
591.20    89        
591.30    26        
591.40    19        
591.50    -35       
591.60    -47       
591.70    -87       
591.80    17        
591.90    10        
592.00    36        
592.10    -26       
592.20    -17       
592.30    60        
592.40    103       
592.50    -19       
592.60    14        
592.70    -22       
592.80    10        
592.90    -135      
593.00    35        
593.10    56        
593.20    40        
593.30    13        
593.40    35        
593.50    -29       
593.60    29        
593.70    61        
593.80    80        
593.90    23        
594.00    -6        
594.10    46        
594.20    9         
594.30    93        
594.40    59        
594.50    -12       
594.60    42        
594.70    -1        
594.80    -47       
594.90    16        
595.00    11        
595.10    -40       
595.20    77        
595.30    -25       
595.40    80        
595.50    89        
595.60    37        
595.70    65        
595.80    42        
595.90    65        
596.00    -31       
596.10    -18       
596.20    -17       
596.30    50        
596.40    29        
596.50    13        
596.60    32        
596.70    7         
596.80    71        
596.90    -6        
597.00    56        
597.10    42        
597.20    72        
597.30    75        
597.40    11        
597.50    56        
597.60    42        
597.70    64        
597.80    51        
597.90    40        
598.00    62        
598.10    94        
598.20    64        
598.30    -52       
598.40    96        
598.50    73        
598.60    55        
598.70    53        
598.80    81        
598.90    106       
599.00    8         
599.10    94        
599.20    102       
599.30    17        
599.40    -29       
599.50    58        
599.60    30        
599.70    67        
599.80    27        
599.90    146       
600.00    56        
600.10    117       
600.20    15        
600.30    72        
600.40    100       
600.50    108       
600.60    100       
600.70    68        
600.80    76        
600.90    153       
601.00    126       
601.10    94        
601.20    55        
601.30    -3        
601.40    25        
601.50    42        
601.60    87        
601.70    67        
601.80    112       
601.90    14        
602.00    79        
602.10    100       
602.20    136       
602.30    64        
602.40    -33       
602.50    43        
602.60    39        
602.70    -1        
602.80    144       
602.90    161       
603.00    124       
603.10    101       
603.20    108       
603.30    115       
603.40    15        
603.50    32        
603.60    31        
603.70    142       
603.80    116       
603.90    57        
604.00    104       
604.10    119       
604.20    101       
604.30    84        
604.40    73        
604.50    78        
604.60    81        
604.70    167       
604.80    149       
604.90    114       
605.00    102       
605.10    124       
605.20    52        
605.30    130       
605.40    130       
605.50    97        
605.60    11        
605.70    111       
605.80    83        
605.90    126       
606.00    143       
606.10    71        
606.20    205       
606.30    140       
606.40    71        
606.50    125       
606.60    705       
606.70    130       
606.80    154       
606.90    667       
607.00    756       
607.10    162       
607.20    97        
607.30    149       
607.40    175       
607.50    742       
607.60    143       
607.70    70        
607.80    746       
607.90    159       
608.00    718       
608.10    688       
608.20    198       
608.30    44        
608.40    188       
608.50    172       
608.60    683       
608.70    199       
608.80    740       
608.90    753       
609.00    107       
609.10    737       
609.20    714       
609.30    733       
609.40    696       
609.50    706       
609.60    694       
609.70    776       
609.80    758       
609.90    758       
610.00    770       
610.10    755       
610.20    725       
610.30    697       
610.40    728       
610.50    766       
610.60    740       
610.70    765       
610.80    789       
610.90    843       
611.00    723       
611.10    791       
611.20    849       
611.30    811       
611.40    783       
611.50    801       
611.60    825       
611.70    830       
611.80    816       
611.90    841       
612.00    817       
612.10    832       
612.20    845       
612.30    850       
612.40    855       
612.50    788       
612.60    837       
612.70    852       
612.80    861       
612.90    849       
613.00    868       
613.10    803       
613.20    841       
613.30    846       
613.40    845       
613.50    822       
613.60    888       
613.70    849       
613.80    962       
613.90    805       
614.00    976       
614.10    899       
