% Model,C8.3.mph
% Version,COMSOL 5.3.0.316
% Date,"May 24 2022, 12:29"
% Table,探针表 1 - 
% 时间 (s),"温度 (K), 点: (0.01, 0.045, 0.045)","温度 (K), 点: (0.02, 0.045, 0.045)"
0,293.1500012341947,293.1500000000882
0.6,293.25208929694685,293.149999849813
1.2,293.3469578292013,293.1499996796877
2.4,293.49652301310397,293.149999875181
4.8,293.6896493693146,293.14999990176807
9.6,293.90786855969395,293.1500034357541
19.2,294.24615421571315,293.150142237242
38.4,294.7140550147818,293.1538691271103
76.8,295.380762473459,293.19166097615584
136.8,296.1504744165058,293.32774733473
196.8,296.777454246094,293.5226326218106
256.8,297.3277125906246,293.75263127939746
316.8,297.81871490315604,294.0085144079683
376.8,298.2743889655657,294.27888047825905
436.8,298.70265618237704,294.5579215171739
496.8,299.1091059541084,294.84081249573893
556.8,299.49896364084117,295.1240604556108
616.8,299.8744417150877,295.4080945976723
